method,fold,acc
mmit,1,93.71584699453553
mmit,2,94.71488178025037
mmit,3,91.20567375886525
mmit,4,95.5617198335645
mmit,5,93.50473612990528
mmit,6,94.07806191117092
linear,1,94.78021978021978
linear,2,94.28172942817297
linear,3,93.75886524822695
linear,4,94.1747572815534
linear,5,92.5575101488498
linear,6,92.04851752021564
AFT_XGboost,1,93.30601092896174
AFT_XGboost,2,94.57579972183588
AFT_XGboost,3,94.8936170212766
AFT_XGboost,4,94.1747572815534
AFT_XGboost,5,91.74560216508796
AFT_XGboost,6,94.75100942126514
rnn,1,87.43169398907104
rnn,2,88.31710709318497
rnn,3,77.30496453900709
rnn,4,90.70735090152566
rnn,5,87.68606224627875
rnn,6,86.13728129205921
gru,1,95.76502732240438
gru,2,94.57579972183588
gru,3,95.74468085106383
gru,4,95.5617198335645
gru,5,94.72259810554804
gru,6,95.5585464333782
lstm,1,93.71584699453553
lstm,2,94.57579972183588
lstm,3,93.19148936170212
lstm,4,93.20388349514563
lstm,5,93.09878213802436
lstm,6,91.7900403768506
mlp,1,95.90163934426229
mlp,2,94.57579972183588
mlp,3,94.7517730496454
mlp,4,94.72954230235784
mlp,5,94.72259810554804
mlp,6,95.02018842530283
constant,1,75.90163934426229
constant,2,59.57579972183588
constant,3,68.7517730496454
constant,4,69.72954230235784
constant,5,70.72259810554804
constant,6,60.02018842530283
