method,fold,acc
mmit,1,97.19298245614036
mmit,2,97.71929824561404
mmit,3,95.96491228070175
mmit,4,97.01754385964912
mmit,5,98.06678383128296
mmit,6,97.01230228471002
linear,1,97.19298245614036
linear,2,97.01754385964912
linear,3,95.96491228070175
linear,4,96.84210526315788
linear,5,97.18804920913884
linear,6,96.66080843585236
AFT_XGboost,1,97.89473684210527
AFT_XGboost,2,98.42105263157896
AFT_XGboost,3,96.66666666666669
AFT_XGboost,4,96.84210526315788
AFT_XGboost,5,97.71528998242532
AFT_XGboost,6,96.66080843585236
rnn,1,87.01754385964912
rnn,2,90.70175438596492
rnn,3,95.26315789473684
rnn,4,38.24561403508772
rnn,5,92.97012302284709
rnn,6,33.04042179261863
lstm,1,96.66666666666667
lstm,2,97.01754385964912
lstm,3,96.49122807017544
lstm,4,97.01754385964912
lstm,5,96.30931458699473
lstm,6,96.30931458699473
gru,1,98.94736842105263
gru,2,97.71929824561404
gru,3,98.42105263157895
gru,4,98.0701754385965
gru,5,98.24253075571178
gru,6,97.71528998242532
mlp,1,98.59649122807016
mlp,2,98.42105263157895
mlp,3,96.66666666666667
mlp,4,98.24561403508771
mlp,5,98.41827768014059
mlp,6,97.18804920913884
constant,1,43.04042179261863
constant,2,52.04042179261863
constant,3,53.04042179261863
constant,4,57.04042179261863
constant,5,66.04042179261863
constant,6,70.04042179261863
