H3K4me3_PGP_immune mean 100 2 4 1
cpu
Epoch 1/1000 - Train Loss: 9.3108, Val Loss: 8.7824, Test Loss: 8.7956
Epoch 2/1000 - Train Loss: 8.1639, Val Loss: 7.4922, Test Loss: 7.5013
Epoch 3/1000 - Train Loss: 7.0030, Val Loss: 6.5076, Test Loss: 6.5072
Epoch 4/1000 - Train Loss: 6.1311, Val Loss: 5.7219, Test Loss: 5.7179
Epoch 5/1000 - Train Loss: 5.3899, Val Loss: 5.0118, Test Loss: 5.0068
Epoch 6/1000 - Train Loss: 4.6956, Val Loss: 4.3302, Test Loss: 4.3247
Epoch 7/1000 - Train Loss: 4.0224, Val Loss: 3.6641, Test Loss: 3.6584
Epoch 8/1000 - Train Loss: 3.3648, Val Loss: 3.0132, Test Loss: 3.0075
Epoch 9/1000 - Train Loss: 2.7457, Val Loss: 2.4090, Test Loss: 2.4313
Epoch 10/1000 - Train Loss: 2.2192, Val Loss: 1.9285, Test Loss: 1.9700
Epoch 11/1000 - Train Loss: 1.8290, Val Loss: 1.6335, Test Loss: 1.6381
Epoch 12/1000 - Train Loss: 1.5766, Val Loss: 1.4528, Test Loss: 1.4542
Epoch 13/1000 - Train Loss: 1.4556, Val Loss: 1.3686, Test Loss: 1.3836
Epoch 14/1000 - Train Loss: 1.4050, Val Loss: 1.3175, Test Loss: 1.3487
Epoch 15/1000 - Train Loss: 1.3798, Val Loss: 1.2984, Test Loss: 1.3310
Epoch 16/1000 - Train Loss: 1.3654, Val Loss: 1.2929, Test Loss: 1.3245
Epoch 17/1000 - Train Loss: 1.3622, Val Loss: 1.2896, Test Loss: 1.3223
Epoch 18/1000 - Train Loss: 1.3608, Val Loss: 1.2897, Test Loss: 1.3223
Epoch 19/1000 - Train Loss: 1.3601, Val Loss: 1.2883, Test Loss: 1.3219
Epoch 20/1000 - Train Loss: 1.3600, Val Loss: 1.2871, Test Loss: 1.3218
Epoch 21/1000 - Train Loss: 1.3608, Val Loss: 1.2870, Test Loss: 1.3218
Epoch 22/1000 - Train Loss: 1.3607, Val Loss: 1.2873, Test Loss: 1.3218
Epoch 23/1000 - Train Loss: 1.3602, Val Loss: 1.2872, Test Loss: 1.3218
Epoch 24/1000 - Train Loss: 1.3602, Val Loss: 1.2885, Test Loss: 1.3219
Epoch 25/1000 - Train Loss: 1.3606, Val Loss: 1.2875, Test Loss: 1.3218
Epoch 26/1000 - Train Loss: 1.3604, Val Loss: 1.2880, Test Loss: 1.3218
Epoch 27/1000 - Train Loss: 1.3604, Val Loss: 1.2869, Test Loss: 1.3218
Epoch 28/1000 - Train Loss: 1.3601, Val Loss: 1.2872, Test Loss: 1.3218
Epoch 29/1000 - Train Loss: 1.3602, Val Loss: 1.2871, Test Loss: 1.3218
Epoch 30/1000 - Train Loss: 1.3605, Val Loss: 1.2870, Test Loss: 1.3218
Epoch 31/1000 - Train Loss: 1.3612, Val Loss: 1.2869, Test Loss: 1.3218
Epoch 32/1000 - Train Loss: 1.3602, Val Loss: 1.2873, Test Loss: 1.3217
Epoch 33/1000 - Train Loss: 1.3603, Val Loss: 1.2872, Test Loss: 1.3217
Epoch 34/1000 - Train Loss: 1.3599, Val Loss: 1.2871, Test Loss: 1.3217
Epoch 35/1000 - Train Loss: 1.3606, Val Loss: 1.2868, Test Loss: 1.3218
Epoch 36/1000 - Train Loss: 1.3618, Val Loss: 1.2880, Test Loss: 1.3218
Epoch 37/1000 - Train Loss: 1.3606, Val Loss: 1.2865, Test Loss: 1.3219
Epoch 38/1000 - Train Loss: 1.3604, Val Loss: 1.2870, Test Loss: 1.3217
Epoch 39/1000 - Train Loss: 1.3603, Val Loss: 1.2882, Test Loss: 1.3218
Epoch 40/1000 - Train Loss: 1.3601, Val Loss: 1.2870, Test Loss: 1.3217
Epoch 41/1000 - Train Loss: 1.3601, Val Loss: 1.2873, Test Loss: 1.3217
Epoch 42/1000 - Train Loss: 1.3603, Val Loss: 1.2873, Test Loss: 1.3217
Epoch 43/1000 - Train Loss: 1.3611, Val Loss: 1.2888, Test Loss: 1.3219
Epoch 44/1000 - Train Loss: 1.3603, Val Loss: 1.2872, Test Loss: 1.3217
Epoch 45/1000 - Train Loss: 1.3599, Val Loss: 1.2873, Test Loss: 1.3217
Epoch 46/1000 - Train Loss: 1.3614, Val Loss: 1.2877, Test Loss: 1.3217
Epoch 47/1000 - Train Loss: 1.3601, Val Loss: 1.2876, Test Loss: 1.3217
Epoch 48/1000 - Train Loss: 1.3610, Val Loss: 1.2887, Test Loss: 1.3219
Epoch 49/1000 - Train Loss: 1.3609, Val Loss: 1.2879, Test Loss: 1.3217
Epoch 50/1000 - Train Loss: 1.3607, Val Loss: 1.2873, Test Loss: 1.3216
Epoch 51/1000 - Train Loss: 1.3613, Val Loss: 1.2869, Test Loss: 1.3217
Epoch 52/1000 - Train Loss: 1.3602, Val Loss: 1.2871, Test Loss: 1.3216
Epoch 53/1000 - Train Loss: 1.3600, Val Loss: 1.2870, Test Loss: 1.3216
Epoch 54/1000 - Train Loss: 1.3621, Val Loss: 1.2870, Test Loss: 1.3216
Epoch 55/1000 - Train Loss: 1.3614, Val Loss: 1.2867, Test Loss: 1.3217
Epoch 56/1000 - Train Loss: 1.3605, Val Loss: 1.2870, Test Loss: 1.3216
Epoch 57/1000 - Train Loss: 1.3601, Val Loss: 1.2870, Test Loss: 1.3216
Epoch 58/1000 - Train Loss: 1.3607, Val Loss: 1.2871, Test Loss: 1.3216
Epoch 59/1000 - Train Loss: 1.3605, Val Loss: 1.2871, Test Loss: 1.3216
Epoch 60/1000 - Train Loss: 1.3601, Val Loss: 1.2871, Test Loss: 1.3216
Epoch 61/1000 - Train Loss: 1.3601, Val Loss: 1.2871, Test Loss: 1.3216
Epoch 62/1000 - Train Loss: 1.3600, Val Loss: 1.2871, Test Loss: 1.3216
Epoch 63/1000 - Train Loss: 1.3600, Val Loss: 1.2870, Test Loss: 1.3216
Epoch 64/1000 - Train Loss: 1.3609, Val Loss: 1.2871, Test Loss: 1.3216
Epoch 65/1000 - Train Loss: 1.3609, Val Loss: 1.2881, Test Loss: 1.3216
Epoch 66/1000 - Train Loss: 1.3602, Val Loss: 1.2873, Test Loss: 1.3216
Epoch 67/1000 - Train Loss: 1.3600, Val Loss: 1.2868, Test Loss: 1.3216
Epoch 68/1000 - Train Loss: 1.3601, Val Loss: 1.2873, Test Loss: 1.3216
Epoch 69/1000 - Train Loss: 1.3603, Val Loss: 1.2868, Test Loss: 1.3217
Epoch 70/1000 - Train Loss: 1.3605, Val Loss: 1.2873, Test Loss: 1.3216
Epoch 71/1000 - Train Loss: 1.3614, Val Loss: 1.2867, Test Loss: 1.3217
Epoch 72/1000 - Train Loss: 1.3604, Val Loss: 1.2878, Test Loss: 1.3216
Epoch 73/1000 - Train Loss: 1.3600, Val Loss: 1.2870, Test Loss: 1.3216
Epoch 74/1000 - Train Loss: 1.3613, Val Loss: 1.2872, Test Loss: 1.3216
Epoch 75/1000 - Train Loss: 1.3603, Val Loss: 1.2878, Test Loss: 1.3216
Epoch 76/1000 - Train Loss: 1.3607, Val Loss: 1.2873, Test Loss: 1.3216
Epoch 77/1000 - Train Loss: 1.3601, Val Loss: 1.2870, Test Loss: 1.3216
Epoch 78/1000 - Train Loss: 1.3606, Val Loss: 1.2878, Test Loss: 1.3216
Epoch 79/1000 - Train Loss: 1.3605, Val Loss: 1.2871, Test Loss: 1.3216
Epoch 80/1000 - Train Loss: 1.3606, Val Loss: 1.2873, Test Loss: 1.3216
Epoch 81/1000 - Train Loss: 1.3607, Val Loss: 1.2871, Test Loss: 1.3215
Epoch 82/1000 - Train Loss: 1.3614, Val Loss: 1.2880, Test Loss: 1.3216
Epoch 83/1000 - Train Loss: 1.3600, Val Loss: 1.2878, Test Loss: 1.3215
Epoch 84/1000 - Train Loss: 1.3598, Val Loss: 1.2874, Test Loss: 1.3214
Epoch 85/1000 - Train Loss: 1.3598, Val Loss: 1.2866, Test Loss: 1.3203
Epoch 86/1000 - Train Loss: 1.3578, Val Loss: 1.2833, Test Loss: 1.3150
Epoch 87/1000 - Train Loss: 1.3544, Val Loss: 1.2766, Test Loss: 1.3061
Epoch 88/1000 - Train Loss: 1.3442, Val Loss: 1.2904, Test Loss: 1.3013
Epoch 89/1000 - Train Loss: 1.3393, Val Loss: 1.3223, Test Loss: 1.3010
Epoch 90/1000 - Train Loss: 1.3326, Val Loss: 1.2871, Test Loss: 1.2971
Epoch 91/1000 - Train Loss: 1.3331, Val Loss: 1.2972, Test Loss: 1.2930
Epoch 92/1000 - Train Loss: 1.3250, Val Loss: 1.2788, Test Loss: 1.2961
Epoch 93/1000 - Train Loss: 1.3305, Val Loss: 1.2841, Test Loss: 1.2924
Epoch 94/1000 - Train Loss: 1.3210, Val Loss: 1.3023, Test Loss: 1.2890
Epoch 95/1000 - Train Loss: 1.3256, Val Loss: 1.2857, Test Loss: 1.2868
Epoch 96/1000 - Train Loss: 1.3232, Val Loss: 1.2874, Test Loss: 1.2859
Epoch 97/1000 - Train Loss: 1.3213, Val Loss: 1.2767, Test Loss: 1.2863
Epoch 98/1000 - Train Loss: 1.3174, Val Loss: 1.2757, Test Loss: 1.2852
Epoch 99/1000 - Train Loss: 1.3163, Val Loss: 1.2716, Test Loss: 1.2839
Epoch 100/1000 - Train Loss: 1.3152, Val Loss: 1.2821, Test Loss: 1.2829
Epoch 101/1000 - Train Loss: 1.3144, Val Loss: 1.2695, Test Loss: 1.2832
Epoch 102/1000 - Train Loss: 1.3149, Val Loss: 1.2726, Test Loss: 1.2808
Epoch 103/1000 - Train Loss: 1.3136, Val Loss: 1.2708, Test Loss: 1.2799
Epoch 104/1000 - Train Loss: 1.3123, Val Loss: 1.2862, Test Loss: 1.2769
Epoch 105/1000 - Train Loss: 1.3109, Val Loss: 1.2805, Test Loss: 1.2754
Epoch 106/1000 - Train Loss: 1.3071, Val Loss: 1.3045, Test Loss: 1.2755
Epoch 107/1000 - Train Loss: 1.3139, Val Loss: 1.2660, Test Loss: 1.2750
Epoch 108/1000 - Train Loss: 1.3053, Val Loss: 1.2830, Test Loss: 1.2688
Epoch 109/1000 - Train Loss: 1.3057, Val Loss: 1.2945, Test Loss: 1.2681
Epoch 110/1000 - Train Loss: 1.3060, Val Loss: 1.2773, Test Loss: 1.2668
Epoch 111/1000 - Train Loss: 1.3056, Val Loss: 1.2938, Test Loss: 1.2658
Epoch 112/1000 - Train Loss: 1.3098, Val Loss: 1.3069, Test Loss: 1.2672
Epoch 113/1000 - Train Loss: 1.3068, Val Loss: 1.2941, Test Loss: 1.2656
Epoch 114/1000 - Train Loss: 1.3055, Val Loss: 1.2725, Test Loss: 1.2658
Epoch 115/1000 - Train Loss: 1.3025, Val Loss: 1.2861, Test Loss: 1.2636
Epoch 116/1000 - Train Loss: 1.3007, Val Loss: 1.3059, Test Loss: 1.2656
Epoch 117/1000 - Train Loss: 1.3020, Val Loss: 1.2902, Test Loss: 1.2625
Epoch 118/1000 - Train Loss: 1.3023, Val Loss: 1.2844, Test Loss: 1.2629
Epoch 119/1000 - Train Loss: 1.3004, Val Loss: 1.2870, Test Loss: 1.2619
Epoch 120/1000 - Train Loss: 1.2991, Val Loss: 1.2646, Test Loss: 1.2663
Epoch 121/1000 - Train Loss: 1.3016, Val Loss: 1.2716, Test Loss: 1.2615
Epoch 122/1000 - Train Loss: 1.3034, Val Loss: 1.2833, Test Loss: 1.2588
Epoch 123/1000 - Train Loss: 1.2971, Val Loss: 1.2773, Test Loss: 1.2589
