H3K36me3_AM_immune median 100 2 16 2
cpu
Epoch 1/1000 - Train Loss: 7.8326, Val Loss: 5.3181, Test Loss: 5.3023
Epoch 2/1000 - Train Loss: 3.7460, Val Loss: 2.0469, Test Loss: 2.0306
Epoch 3/1000 - Train Loss: 1.0638, Val Loss: 0.3657, Test Loss: 0.4193
Epoch 4/1000 - Train Loss: 0.3927, Val Loss: 0.2658, Test Loss: 0.2733
Epoch 5/1000 - Train Loss: 0.3383, Val Loss: 0.2820, Test Loss: 0.2636
Epoch 6/1000 - Train Loss: 0.3360, Val Loss: 0.2740, Test Loss: 0.2641
Epoch 7/1000 - Train Loss: 0.3341, Val Loss: 0.2820, Test Loss: 0.2636
Epoch 8/1000 - Train Loss: 0.3356, Val Loss: 0.2797, Test Loss: 0.2635
Epoch 9/1000 - Train Loss: 0.3350, Val Loss: 0.2800, Test Loss: 0.2636
Epoch 10/1000 - Train Loss: 0.3351, Val Loss: 0.2813, Test Loss: 0.2636
Epoch 11/1000 - Train Loss: 0.3363, Val Loss: 0.2880, Test Loss: 0.2647
Epoch 12/1000 - Train Loss: 0.3359, Val Loss: 0.2867, Test Loss: 0.2644
Epoch 13/1000 - Train Loss: 0.3364, Val Loss: 0.2781, Test Loss: 0.2636
Epoch 14/1000 - Train Loss: 0.3364, Val Loss: 0.2786, Test Loss: 0.2635
Epoch 15/1000 - Train Loss: 0.3351, Val Loss: 0.2828, Test Loss: 0.2637
Epoch 16/1000 - Train Loss: 0.3340, Val Loss: 0.2688, Test Loss: 0.2661
Epoch 17/1000 - Train Loss: 0.3366, Val Loss: 0.2766, Test Loss: 0.2637
Epoch 18/1000 - Train Loss: 0.3364, Val Loss: 0.2766, Test Loss: 0.2637
Epoch 19/1000 - Train Loss: 0.3376, Val Loss: 0.2780, Test Loss: 0.2636
Epoch 20/1000 - Train Loss: 0.3427, Val Loss: 0.2786, Test Loss: 0.2635
Epoch 21/1000 - Train Loss: 0.3362, Val Loss: 0.2750, Test Loss: 0.2639
Epoch 22/1000 - Train Loss: 0.3353, Val Loss: 0.2681, Test Loss: 0.2665
Epoch 23/1000 - Train Loss: 0.3375, Val Loss: 0.2729, Test Loss: 0.2644
Epoch 24/1000 - Train Loss: 0.3384, Val Loss: 0.2768, Test Loss: 0.2637
Epoch 25/1000 - Train Loss: 0.3359, Val Loss: 0.2774, Test Loss: 0.2636
Epoch 26/1000 - Train Loss: 0.3363, Val Loss: 0.2804, Test Loss: 0.2636
Epoch 27/1000 - Train Loss: 0.3402, Val Loss: 0.2834, Test Loss: 0.2638
Epoch 28/1000 - Train Loss: 0.3354, Val Loss: 0.2738, Test Loss: 0.2641
Epoch 29/1000 - Train Loss: 0.3351, Val Loss: 0.2674, Test Loss: 0.2669
Epoch 30/1000 - Train Loss: 0.3378, Val Loss: 0.2781, Test Loss: 0.2636
Epoch 31/1000 - Train Loss: 0.3375, Val Loss: 0.2722, Test Loss: 0.2646
Epoch 32/1000 - Train Loss: 0.3364, Val Loss: 0.2754, Test Loss: 0.2639
Epoch 33/1000 - Train Loss: 0.3376, Val Loss: 0.2781, Test Loss: 0.2636
Epoch 34/1000 - Train Loss: 0.3344, Val Loss: 0.2861, Test Loss: 0.2642
Epoch 35/1000 - Train Loss: 0.3357, Val Loss: 0.2712, Test Loss: 0.2650
Epoch 36/1000 - Train Loss: 0.3367, Val Loss: 0.2663, Test Loss: 0.2686
Epoch 37/1000 - Train Loss: 0.3348, Val Loss: 0.2827, Test Loss: 0.2637
Epoch 38/1000 - Train Loss: 0.3367, Val Loss: 0.2785, Test Loss: 0.2635
Epoch 39/1000 - Train Loss: 0.3366, Val Loss: 0.2872, Test Loss: 0.2645
Epoch 40/1000 - Train Loss: 0.3354, Val Loss: 0.2829, Test Loss: 0.2637
Epoch 41/1000 - Train Loss: 0.3346, Val Loss: 0.2906, Test Loss: 0.2654
Epoch 42/1000 - Train Loss: 0.3394, Val Loss: 0.2874, Test Loss: 0.2645
Epoch 43/1000 - Train Loss: 0.3357, Val Loss: 0.2784, Test Loss: 0.2635
Epoch 44/1000 - Train Loss: 0.3372, Val Loss: 0.2776, Test Loss: 0.2636
Epoch 45/1000 - Train Loss: 0.3365, Val Loss: 0.2759, Test Loss: 0.2638
Epoch 46/1000 - Train Loss: 0.3365, Val Loss: 0.2795, Test Loss: 0.2635
Epoch 47/1000 - Train Loss: 0.3371, Val Loss: 0.2861, Test Loss: 0.2642
Epoch 48/1000 - Train Loss: 0.3374, Val Loss: 0.2765, Test Loss: 0.2637
Epoch 49/1000 - Train Loss: 0.3345, Val Loss: 0.2880, Test Loss: 0.2647
Epoch 50/1000 - Train Loss: 0.3378, Val Loss: 0.2900, Test Loss: 0.2652
Epoch 51/1000 - Train Loss: 0.3354, Val Loss: 0.2891, Test Loss: 0.2650
Epoch 52/1000 - Train Loss: 0.3337, Val Loss: 0.2725, Test Loss: 0.2645
Epoch 53/1000 - Train Loss: 0.3357, Val Loss: 0.2714, Test Loss: 0.2649
Epoch 54/1000 - Train Loss: 0.3370, Val Loss: 0.2810, Test Loss: 0.2636
Epoch 55/1000 - Train Loss: 0.3349, Val Loss: 0.2761, Test Loss: 0.2637
