dataset,loss_type,compress_type,compress_size,input_size,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
ATAC_JV_adipose,square,mean,100,1,1,16,1,4,2.3540016101798096,1.393215147838928,2.3298602915075546,82078.81773400307
ATAC_JV_adipose,square,mean,100,1,1,16,2,37,2.443208393169251,1.6136657953684337,1.9713633848473475,107092.46790957452
ATAC_JV_adipose,square,mean,100,1,1,2,1,22,2.18245462936332,1.3904357818863355,2.3224515915363515,103721.6023209095
ATAC_JV_adipose,square,mean,100,1,1,2,2,111,2.471381714953043,1.6776740539565005,1.9667905813335205,196585.87008070943
ATAC_JV_adipose,square,mean,100,1,1,4,1,16,2.175820035466818,1.389818881062165,2.315533522751446,98077.70834994316
ATAC_JV_adipose,square,mean,100,1,1,4,2,64,2.430090617696946,1.629817622703161,1.9520819947772952,144373.78007125854
ATAC_JV_adipose,square,mean,100,1,1,8,1,8,2.2564274606533847,1.3943777828477324,2.33176043705303,87186.83868694305
ATAC_JV_adipose,square,mean,100,1,1,8,2,48,2.427035127730014,1.6451491370111897,1.931955833513904,127373.76011061668
ATAC_JV_adipose,square,mean,100,1,2,16,1,46,1.966101820618229,1.293268906783778,2.2620466377608186,168258.19674253464
ATAC_JV_adipose,square,mean,100,1,2,16,2,59,2.4334837881235374,1.6092858553535982,1.9697687594903075,273548.4632947445
ATAC_JV_adipose,square,mean,100,1,2,2,1,26,2.172897045535402,1.390956771589699,2.319400898461708,226572.3715348244
ATAC_JV_adipose,square,mean,100,1,2,2,2,175,2.2745811950038064,1.5738706714685329,1.969308742025784,536223.4830284119
ATAC_JV_adipose,square,mean,100,1,2,4,1,16,2.1618396896892405,1.3929892282863148,2.312610459749999,203546.6294412613
ATAC_JV_adipose,square,mean,100,1,2,4,2,132,2.1240493750043554,1.539922820308923,1.8882207589985176,458084.01405000687
ATAC_JV_adipose,square,mean,100,1,2,8,1,8,2.192642541625381,1.391550886281766,2.3143298072840373,181167.62861132625
ATAC_JV_adipose,square,mean,100,1,2,8,2,96,2.164067770928211,1.5525471587395507,1.8425447923972225,366989.61008524895
ATAC_JV_adipose,square,mean,1000,1,1,16,1,193,1.336246274531662,1.1723684184920422,2.114288480259472,33533.28554272652
ATAC_JV_adipose,square,mean,1000,1,1,16,2,198,1.980402677898445,1.4602189979473637,1.7393040137890867,28975.59555220604
ATAC_JV_adipose,square,mean,1000,1,1,2,1,22,2.185627772862434,1.3918444622820243,2.323450130458468,10920.201996564863
ATAC_JV_adipose,square,mean,1000,1,1,2,2,121,2.432984915374878,1.5943289824102644,1.979872570108699,20561.48584842682
ATAC_JV_adipose,square,mean,1000,1,1,4,1,16,2.1761695805303645,1.3902088880212975,2.315412373253908,9267.946806669235
ATAC_JV_adipose,square,mean,1000,1,1,4,2,68,2.393250034399929,1.6037498201688074,1.9638860758300063,14008.395171165466
ATAC_JV_adipose,square,mean,1000,1,1,8,1,8,2.262599461946036,1.3955737670511008,2.333133767110247,8392.146490573883
ATAC_JV_adipose,square,mean,1000,1,1,8,2,41,2.413516751295704,1.643125171287631,1.960924697265266,11107.732845783234
ATAC_JV_adipose,square,mean,1000,1,2,16,1,35,2.123557235662497,1.406382627565181,2.3103610864121755,24458.30385088921
ATAC_JV_adipose,square,mean,1000,1,2,16,2,37,2.4787975744247888,1.6464706334941597,1.957274729925757,21122.182713747025
ATAC_JV_adipose,square,mean,1000,1,2,2,1,26,2.172907042042852,1.390956740300171,2.319403972477385,21709.615040779117
ATAC_JV_adipose,square,mean,1000,1,2,2,2,101,2.43135369535968,1.567851236904806,1.9817118130450264,36212.4207713604
ATAC_JV_adipose,square,mean,1000,1,2,4,1,16,2.161811111415012,1.39314856039593,2.312519605026129,18639.003893852238
ATAC_JV_adipose,square,mean,1000,1,2,4,2,64,2.423956928578825,1.6380021803594322,1.9741624312739767,27754.06189274788
ATAC_JV_adipose,square,mean,1000,1,2,8,1,8,2.192650172488208,1.3915251992363482,2.31428034863776,17023.68578004837
ATAC_JV_adipose,square,mean,1000,1,2,8,2,48,2.4467743961494954,1.6433399235670962,1.958267907208761,23989.46144914627
ATAC_JV_adipose,square,mean,2000,1,1,16,1,35,2.0774741987680705,1.3853170154243708,2.2479776395972526,5977.235877037048
ATAC_JV_adipose,square,mean,2000,1,1,16,2,21,2.462027200178896,1.6555803615748037,1.9584665887530248,4310.282118082047
ATAC_JV_adipose,square,mean,2000,1,1,2,1,22,2.187117806564671,1.392207194166258,2.323477998775705,5315.358346223831
ATAC_JV_adipose,square,mean,2000,1,1,2,2,269,2.373256764862953,1.5796383751386949,1.965069774827897,18529.807571172714
ATAC_JV_adipose,square,mean,2000,1,1,4,1,16,2.1786310862781293,1.3901464674819726,2.315772353223538,4716.333114147186
ATAC_JV_adipose,square,mean,2000,1,1,4,2,57,2.3988398902490733,1.594797937308282,1.964622942602982,6431.768581628799
ATAC_JV_adipose,square,mean,2000,1,1,8,1,8,2.262084885394128,1.3954311577789484,2.332741976316111,4246.412807226181
ATAC_JV_adipose,square,mean,2000,1,1,8,2,37,2.427453428698022,1.639514132031102,1.9566389317044304,5124.7417075634
ATAC_JV_adipose,square,mean,2000,1,2,16,1,64,1.9089665222717145,1.3166201738081873,2.29586284201383,16097.71409034729
ATAC_JV_adipose,square,mean,2000,1,2,16,2,32,2.453480839464594,1.6470267644333283,1.9609539549697448,10338.111492156982
ATAC_JV_adipose,square,mean,2000,1,2,2,1,26,2.172843626606761,1.3909509246901144,2.319374757593622,11498.804464101791
ATAC_JV_adipose,square,mean,2000,1,2,2,2,77,2.438755749019204,1.614263437079816,1.9836150655921143,15948.04140472412
ATAC_JV_adipose,square,mean,2000,1,2,4,1,16,2.1621886433122386,1.3930164770362898,2.312536010559336,9838.4164352417
ATAC_JV_adipose,square,mean,2000,1,2,4,2,57,2.4321511474361093,1.6412441351673228,1.96796318504334,13746.242710590364
ATAC_JV_adipose,square,mean,2000,1,2,8,1,8,2.192866293637517,1.3914485242730006,2.3142625518669706,8712.031914234161
ATAC_JV_adipose,square,mean,2000,1,2,8,2,86,2.234548495977506,1.61472266248893,1.8893990607636653,16766.120787143707
ATAC_JV_adipose,square,median,100,1,1,16,1,4,2.355338290131506,1.3934293268062174,2.330118054991453,81602.48248457909
ATAC_JV_adipose,square,median,100,1,1,16,2,48,2.4058345566044697,1.637153407859759,1.943712373995249,127603.68748641014
ATAC_JV_adipose,square,median,100,1,1,2,1,22,2.182425295657892,1.3905124420055657,2.322284043719248,107782.20744085312
ATAC_JV_adipose,square,median,100,1,1,2,2,139,2.466772873093557,1.6725696143482558,1.9704865992042484,237514.3623638153
ATAC_JV_adipose,square,median,100,1,1,4,1,16,2.17552351776746,1.3898537931154895,2.315398843961167,99166.86510205267
ATAC_JV_adipose,square,median,100,1,1,4,2,64,2.3921095933430894,1.6246583451866172,1.9570335500495528,139541.53564691544
ATAC_JV_adipose,square,median,100,1,1,8,1,8,2.2556327056812067,1.3940178490895778,2.33099081362995,88992.71893906593
ATAC_JV_adipose,square,median,100,1,1,8,2,48,2.421230890581875,1.6394352271639614,1.9373210721874208,123690.61008310318
ATAC_JV_adipose,square,median,100,1,2,16,1,63,1.718565218007992,1.277412769421935,2.3070061534386266,461592.3444037437
ATAC_JV_adipose,square,median,100,1,2,16,2,105,1.9782156097180528,1.4667671149866444,1.8081948106619088,395564.4391891956
ATAC_JV_adipose,square,median,100,1,2,2,1,26,2.172908255321981,1.3909576411300804,2.319405118109803,230076.5631616116
ATAC_JV_adipose,square,median,100,1,2,2,2,134,2.425681172067208,1.6044982246676227,1.980165352415468,463572.4390068054
ATAC_JV_adipose,square,median,100,1,2,4,1,16,2.161680213444182,1.3930392632400617,2.3125483837984286,202687.355247736
ATAC_JV_adipose,square,median,100,1,2,4,2,154,2.097685577881556,1.5211149403105744,1.853174763353427,526630.4483158588
ATAC_JV_adipose,square,median,100,1,2,8,1,8,2.192625396286586,1.3915523124998437,2.314326696902924,174467.51806759834
ATAC_JV_adipose,square,median,100,1,2,8,2,94,2.3228270077320743,1.57111695820508,1.8641809757030616,367733.25811100006
ATAC_JV_adipose,square,median,1000,1,1,16,1,81,1.7706239248747844,1.119532514574239,2.296208278990931,17954.393789052963
ATAC_JV_adipose,square,median,1000,1,1,16,2,32,2.3986196846875,1.6482397621836176,1.9535217798385884,7862.951170921326
ATAC_JV_adipose,square,median,1000,1,1,2,1,22,2.1864198188954367,1.392260565609904,2.3238157794047387,9704.75255203247
ATAC_JV_adipose,square,median,1000,1,1,2,2,106,2.3985597130144014,1.6134290077342568,1.981483461905932,18096.213556289676
