dataset,loss_type,compress_type,compress_size,input_size,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
ATAC_JV_adipose,square,mean,100,1,1,16,1,4,2.4080501133864103,1.401642459332943,2.3419821789115027,1475.0929884910583
ATAC_JV_adipose,square,mean,100,1,1,16,2,116,2.3194483549640115,1.5859916954385964,1.9046159754915408,3908.942726135254
ATAC_JV_adipose,square,mean,100,1,1,2,1,24,2.1789251443801083,1.3895166908437386,2.3220081356147806,1119.0106041431427
ATAC_JV_adipose,square,mean,100,1,1,2,2,106,2.411793762963664,1.6121111134046011,1.9535326528825752,2065.588663578033
ATAC_JV_adipose,square,mean,100,1,1,4,1,15,2.152349928202929,1.389139831736684,2.313283912059509,1274.358829498291
ATAC_JV_adipose,square,mean,100,1,1,4,2,76,2.3967859206923303,1.6214982567851992,1.962450691615028,2234.884560823441
ATAC_JV_adipose,square,mean,100,1,1,8,1,8,2.1964648615061826,1.388588603558892,2.3165858236253665,1093.3619313240051
ATAC_JV_adipose,square,mean,100,1,1,8,2,120,2.238757717600924,1.6002012711356988,1.916286364730828,2657.279284477234
ATAC_JV_adipose,square,mean,100,1,2,16,1,172,1.6264207128293835,1.3152393233915791,2.3162757561392056,12236.064655303957
ATAC_JV_adipose,square,mean,100,1,2,16,2,101,2.308708804406644,1.5970077549149706,2.1243838706662843,7382.373917818069
ATAC_JV_adipose,square,mean,100,1,2,2,1,24,2.172911761290212,1.390789705250645,2.317017500131438,2257.4651067256927
ATAC_JV_adipose,square,mean,100,1,2,2,2,236,2.175479838489061,1.507671493581835,1.9355197083570703,7500.388057231903
ATAC_JV_adipose,square,mean,100,1,2,4,1,15,2.1815211942196084,1.390852749167243,2.3186541428357854,2558.80953335762
ATAC_JV_adipose,square,mean,100,1,2,4,2,175,2.323594536823824,1.5969003546829093,2.0320233540870705,7357.306193351746
ATAC_JV_adipose,square,mean,100,1,2,8,1,9,2.1955811418536504,1.3908294654334896,2.318255523625364,2308.682640314102
ATAC_JV_adipose,square,mean,100,1,2,8,2,139,2.0070858912696297,1.4652717548888177,1.9390868295460744,6102.978486299515
ATAC_JV_adipose,square,mean,1000,1,1,16,1,4,2.3928148407294243,1.3973620896879584,2.33778008361075,202.2720940113068
ATAC_JV_adipose,square,mean,1000,1,1,16,2,102,2.234354073405536,1.5555060659217732,1.8415093425218496,450.3068175315857
ATAC_JV_adipose,square,mean,1000,1,1,2,1,24,2.1873682222331454,1.3912109585735015,2.323590368393064,163.54476237297058
ATAC_JV_adipose,square,mean,1000,1,1,2,2,76,2.428793121668277,1.6536349514922637,1.970243103744943,238.01940965652463
ATAC_JV_adipose,square,mean,1000,1,1,4,1,15,2.1606033595786096,1.3922779299877583,2.3144294216564885,179.2101662158966
ATAC_JV_adipose,square,mean,1000,1,1,4,2,46,2.44154941189635,1.6451946710201977,1.9668589116208453,215.4839560985565
ATAC_JV_adipose,square,mean,1000,1,1,8,1,8,2.200468129969615,1.3905818017572165,2.3178772494440354,140.5030255317688
ATAC_JV_adipose,square,mean,1000,1,1,8,2,107,2.2200126636380864,1.5290424377519891,1.884824549682668,306.331422328949
ATAC_JV_adipose,square,mean,1000,1,2,16,1,35,2.1236515709989567,1.406500206047931,2.310605431090377,613.8792507648468
ATAC_JV_adipose,square,mean,1000,1,2,16,2,99,1.908085167541368,1.6335792306133292,2.0538804475194987,986.5002121925354
ATAC_JV_adipose,square,mean,1000,1,2,2,1,24,2.175106576267284,1.3907930125418353,2.3177375422337345,325.9971363544464
ATAC_JV_adipose,square,mean,1000,1,2,2,2,67,2.4675097199835414,1.6531389753376555,1.981262918799393,467.3298337459564
ATAC_JV_adipose,square,mean,1000,1,2,4,1,15,2.18341223393479,1.3909150731295812,2.3192374379733964,350.43646144866943
ATAC_JV_adipose,square,mean,1000,1,2,4,2,76,2.4596147371259782,1.6059935269877317,1.978337663096729,611.9490242004395
ATAC_JV_adipose,square,mean,1000,1,2,8,1,9,2.1955463357489675,1.390843576004554,2.3181685329043864,322.5832016468048
ATAC_JV_adipose,square,mean,1000,1,2,8,2,148,2.1601241500702755,1.4357703508377944,1.8527434621553072,876.1626265048981
ATAC_JV_adipose,square,mean,2000,1,1,16,1,4,2.372391823622783,1.395294563099742,2.334126398719586,112.3743932247162
ATAC_JV_adipose,square,mean,2000,1,1,16,2,98,2.164739875093635,1.4908002625029029,1.865253039365147,247.00535011291504
ATAC_JV_adipose,square,mean,2000,1,1,2,1,24,2.1873713917393243,1.391698126769625,2.3237846720154125,94.4224100112915
ATAC_JV_adipose,square,mean,2000,1,1,2,2,41,2.4651186644127927,1.6567544798493723,1.9744667870507668,106.83673572540285
ATAC_JV_adipose,square,mean,2000,1,1,4,1,15,2.160876527012264,1.3930995776830242,2.314650418740521,99.03692436218262
ATAC_JV_adipose,square,mean,2000,1,1,4,2,38,2.442715472946584,1.6605142216483892,1.9601544285458328,127.07834100723268
ATAC_JV_adipose,square,mean,2000,1,1,8,1,8,2.201719142523616,1.391479721320793,2.318260141660047,83.683030128479
ATAC_JV_adipose,square,mean,2000,1,1,8,2,179,2.1590725419537296,1.4880734728126712,1.8639650831766363,258.63293981552124
ATAC_JV_adipose,square,mean,2000,1,2,16,1,35,2.1236328766375365,1.406406546379003,2.310534286314885,357.6242718696594
ATAC_JV_adipose,square,mean,2000,1,2,16,2,43,2.4599269473725665,1.6700591386285273,1.9786031632911616,355.4991579055786
ATAC_JV_adipose,square,mean,2000,1,2,2,1,24,2.1757785054027297,1.3907934447232402,2.3179888361406467,204.019317150116
ATAC_JV_adipose,square,mean,2000,1,2,2,2,57,2.4464293584016352,1.6583999936172569,1.983234149996136,270.0120072364807
ATAC_JV_adipose,square,mean,2000,1,2,4,1,15,2.185609107215209,1.3909737206972204,2.3200156516204142,206.05241441726685
ATAC_JV_adipose,square,mean,2000,1,2,4,2,51,2.513373269692529,1.6630081582115963,1.9718427776510572,296.5842351913452
ATAC_JV_adipose,square,mean,2000,1,2,8,1,9,2.196070584173088,1.3908713376533706,2.318333446782042,193.53140091896057
ATAC_JV_adipose,square,mean,2000,1,2,8,2,46,2.436768718488456,1.6716247356453096,1.952474900391528,274.97928166389465
