dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
ATAC_JV_adipose,1,1,1,4733,2.122289657592773,1.55383038520813,2.7453436851501465,8.569561958312988
ATAC_JV_adipose,1,1,2,5049,2.418644905090332,1.7107760906219482,2.447288990020752,9.099241733551024
ATAC_JV_adipose,1,32,1,1713,2.137800693511963,1.5615172386169434,2.760774850845337,4.640081644058228
ATAC_JV_adipose,1,32,2,1939,2.4365484714508057,1.7250075340270996,2.4793641567230225,4.99999213218689
ATAC_JV_adipose,1,64,1,1215,2.130918025970459,1.5559636354446411,2.73320746421814,3.96964693069458
ATAC_JV_adipose,1,64,2,1394,2.4128551483154297,1.7243732213974,2.45987319946289,4.108502149581909
ATAC_JV_adipose,1,128,1,809,1.6782623529434204,1.424221158027649,2.2485785484313965,3.246278524398804
ATAC_JV_adipose,1,128,2,687,2.428250789642334,1.757874608039856,2.475072145462036,3.0020980834960938
ATAC_JV_adipose,1,256,1,1146,1.3778026103973389,1.2735024690628052,2.117535352706909,4.417551040649414
ATAC_JV_adipose,1,256,2,490,2.1747143268585205,1.6605597734451294,2.226590633392334,2.838165044784546
ATAC_JV_adipose,1,512,1,442,1.6165788173675537,1.423966646194458,2.1889047622680664,3.1790480613708496
ATAC_JV_adipose,1,512,2,919,1.5526738166809082,1.4769994020462036,2.0940258502960205,4.649008274078369
ATAC_JV_adipose,1,2,1,4423,2.1239593029022217,1.5554118156433103,2.753171682357788,8.4896981716156
ATAC_JV_adipose,2,1,1,12250,2.1451733112335205,1.3907886743545532,2.313249349594116,23.83234214782715
ATAC_JV_adipose,2,1,2,14742,2.468473434448242,1.6801506280899048,1.9834659099578855,27.915929079055783
ATAC_JV_adipose,2,2,1,11772,2.1450767517089844,1.3907885551452637,2.3132164478302,23.97639513015747
ATAC_JV_adipose,2,2,2,14261,2.468473434448242,1.6801506280899048,1.9834659099578855,27.965224504470825
ATAC_JV_adipose,2,4,1,12481,2.145111322402954,1.3907886743545532,2.3136489391326904,24.174615383148197
ATAC_JV_adipose,2,4,2,14972,2.468473434448242,1.6801506280899048,1.9834659099578855,29.455431699752808
ATAC_JV_adipose,2,8,1,1471,2.010033369064331,1.4882773160934448,2.682870864868164,4.354344844818115
ATAC_JV_adipose,2,8,2,1543,2.2745656967163086,1.6440986394882202,2.2858004570007324,4.536564826965332
ATAC_JV_adipose,2,16,1,1284,1.5166239738464355,1.2989393472671509,2.145305156707764,4.18573784828186
ATAC_JV_adipose,2,16,2,1314,2.3389031887054443,1.6542916297912598,2.355794906616211,4.316060304641724
ATAC_JV_adipose,1,2,2,4799,2.414499044418335,1.7096428871154783,2.445441007614136,9.419031620025637
ATAC_JV_adipose,2,32,1,542,1.7248239517211914,1.5074751377105713,2.595477104187012,2.8982574939727783
ATAC_JV_adipose,2,32,2,556,2.177755355834961,1.6447032690048218,2.239165544509888,2.967341661453247
ATAC_JV_adipose,2,64,1,409,1.7077844142913818,1.5126714706420898,2.4900050163269043,2.7876999378204346
ATAC_JV_adipose,2,64,2,378,1.9787813425064087,1.6205341815948486,2.13779354095459,2.68408727645874
ATAC_JV_adipose,2,128,1,575,1.2876222133636477,1.3151136636734009,2.175185441970825,3.5407230854034424
ATAC_JV_adipose,2,128,2,277,1.863192677497864,1.5451983213424685,2.054483413696289,2.6714205741882324
ATAC_JV_adipose,2,256,1,366,1.3051543235778809,1.347830057144165,2.0488383769989014,3.79280161857605
ATAC_JV_adipose,2,256,2,504,1.3385688066482544,1.4680956602096558,2.1272244453430176,4.170429468154907
ATAC_JV_adipose,2,512,1,277,1.0989861488342283,1.269262671470642,2.0501668453216557,5.462464809417725
ATAC_JV_adipose,2,512,2,389,1.2477221488952637,1.289438009262085,2.142730712890625,6.574721336364746
ATAC_JV_adipose,1,4,1,12559,2.1452441215515137,1.3907886743545532,2.3132731914520264,21.570675134658813
ATAC_JV_adipose,3,1,1,13219,2.1452481746673584,1.3907886743545532,2.313274621963501,28.662046670913696
ATAC_JV_adipose,3,1,2,15712,2.468473434448242,1.6801506280899048,1.9834659099578855,33.20690989494324
ATAC_JV_adipose,3,2,1,12162,2.1451587677001958,1.3907886743545532,2.313244104385376,27.27284574508667
ATAC_JV_adipose,3,2,2,14653,2.468473434448242,1.6801506280899048,1.9834659099578855,33.19737768173218
ATAC_JV_adipose,3,4,1,1374,2.123323678970337,1.3907886743545532,2.310900449752808,4.810080766677856
ATAC_JV_adipose,3,4,2,2073,2.468473196029663,1.6801459789276123,1.983454704284668,6.31478762626648
ATAC_JV_adipose,3,8,1,1242,1.9449294805526731,1.453383207321167,2.5958139896392822,4.460371971130371
ATAC_JV_adipose,3,8,2,3050,1.814140796661377,1.4544334411621094,2.152750968933105,8.32825231552124
ATAC_JV_adipose,3,16,1,1178,2.0479989051818848,1.5295006036758425,2.646965980529785,4.393746852874756
ATAC_JV_adipose,3,16,2,1175,2.346322059631348,1.6522040367126465,2.3942997455596924,4.309347629547119
ATAC_JV_adipose,1,4,2,15053,2.468473434448242,1.6801506280899048,1.9834659099578855,24.97345280647278
ATAC_JV_adipose,3,32,1,846,1.9917107820510864,1.517545461654663,2.577156543731689,3.324336290359497
ATAC_JV_adipose,3,32,2,527,2.127671003341675,1.5022079944610596,2.125286340713501,2.923606634140014
ATAC_JV_adipose,3,64,1,336,1.6180649995803833,1.4825254678726196,2.298341989517212,2.6604292392730717
ATAC_JV_adipose,3,64,2,504,1.4680391550064087,1.367755651473999,1.856399416923523,3.103139877319336
ATAC_JV_adipose,3,128,1,176,1.5030471086502075,1.491648554801941,2.14060378074646,2.4738988876342773
ATAC_JV_adipose,3,128,2,282,1.632166624069214,1.5960549116134644,2.1684820652008057,2.8607635498046875
ATAC_JV_adipose,3,256,1,333,1.1721699237823486,1.2281075716018677,2.084716796875,4.5529844760894775
ATAC_JV_adipose,3,256,2,381,1.2561756372451782,1.4115656614303589,2.124281883239746,4.792296409606934
ATAC_JV_adipose,3,512,1,228,0.9915858507156372,1.314224362373352,2.0693092346191406,8.259565114974976
ATAC_JV_adipose,3,512,2,260,1.1597907543182373,1.44754958152771,2.1600184440612797,8.48035192489624
ATAC_JV_adipose,1,8,1,2755,2.141871929168701,1.5543102025985718,2.7711102962493896,6.241718769073486
ATAC_JV_adipose,1,8,2,3048,2.43326997756958,1.7137598991394043,2.457902669906616,6.522197484970093
ATAC_JV_adipose,1,16,1,2373,2.1357882022857666,1.5581488609313965,2.7542409896850586,5.586894989013672
ATAC_JV_adipose,1,16,2,2681,2.423579216003418,1.7291203737258911,2.466247081756592,6.081951856613159
