dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K27ac_TDH_some,1,1,1,5724,2.175375938415528,0.8668686747550964,7.660005569458008,10.585470914840698
H3K27ac_TDH_some,1,1,2,326,22.989032745361328,29.02347183227539,14.583402633666992,2.099516630172729
H3K27ac_TDH_some,1,2,1,5402,2.1661808490753174,0.8701788783073425,7.666957855224609,9.56204915046692
H3K27ac_TDH_some,1,2,2,268,22.74032211303711,28.81719017028809,14.396060943603516,2.066631555557251
H3K27ac_TDH_some,1,4,1,12681,4.326140403747559,1.0182126760482788,4.90514087677002,20.924754858016968
H3K27ac_TDH_some,1,4,2,16128,6.074168205261231,0.7032185792922974,3.66207504272461,26.01250195503235
H3K27ac_TDH_some,1,8,1,3536,2.2002594470977783,0.8772889375686646,7.844860553741455,7.023216724395752
H3K27ac_TDH_some,1,8,2,155,20.13376808166504,27.14001846313477,14.539634704589844,1.8848636150360107
H3K27ac_TDH_some,1,16,1,2968,2.196457624435425,0.891067624092102,7.919229984283447,6.055357456207275
H3K27ac_TDH_some,1,16,2,118,20.353784561157227,29.03598022460937,15.054540634155272,1.9397642612457275
H3K27ac_TDH_some,1,32,1,2423,1.6411144733428955,0.6660922169685364,6.974137783050537,5.364537239074707
H3K27ac_TDH_some,1,32,2,84,19.224672317504883,29.689327239990234,14.052165985107422,1.673163652420044
H3K27ac_TDH_some,1,64,1,1332,2.108252048492432,0.9561805725097656,8.033196449279785,3.746372699737549
H3K27ac_TDH_some,1,64,2,569,5.317761421203613,2.9265947341918945,6.0731520652771,2.66739273071289
H3K27ac_TDH_some,1,128,1,870,1.740153431892395,0.7053152322769165,7.386042594909668,3.2548182010650635
H3K27ac_TDH_some,1,128,2,420,3.693567991256714,2.394021987915039,5.663142681121826,2.4739527702331543
H3K27ac_TDH_some,1,256,1,618,1.502233386039734,0.6598805785179138,6.93124532699585,2.7492165565490723
H3K27ac_TDH_some,1,256,2,297,3.9476122856140137,2.3189005851745605,5.57028865814209,2.102148056030273
H3K27ac_TDH_some,1,512,1,546,1.652871012687683,0.7272680401802063,6.8036208152771,2.956010103225708
