dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K27me3_RL_cancer,1,1,1,3567,4.474469184875488,9.540754318237305,5.473354816436768,7.045706033706665
H3K27me3_RL_cancer,1,1,2,7953,1.966538906097412,2.29487419128418,6.205486297607422,13.198910474777222
H3K27me3_RL_cancer,1,2,1,3263,4.598719596862793,9.610962867736816,5.59434175491333,6.873560667037964
H3K27me3_RL_cancer,1,2,2,7712,1.9584195613861084,2.2891838550567627,6.19998836517334,13.733799695968628
H3K27me3_RL_cancer,1,4,1,22293,3.372905969619751,4.258967876434326,2.759559154510498,36.38948392868042
H3K27me3_RL_cancer,1,4,2,18562,3.4197657108306885,0.5938146710395813,3.6380555629730233,29.93173861503601
H3K27me3_RL_cancer,1,8,1,1942,4.583929061889648,9.742259979248049,5.673253536224365,4.8446900844573975
H3K27me3_RL_cancer,1,8,2,5579,1.9639079570770264,2.3028910160064697,6.2253098487854,10.347754001617432
H3K27me3_RL_cancer,1,16,1,1528,4.682897567749023,10.16432285308838,5.798343658447266,4.200904130935669
H3K27me3_RL_cancer,1,16,2,5119,1.8623088598251345,2.282754182815552,6.357842922210693,9.691437244415283
H3K27me3_RL_cancer,1,32,1,1118,4.540308475494385,10.033740043640137,5.56134033203125,3.56960391998291
H3K27me3_RL_cancer,1,32,2,4206,1.8303838968276975,2.2902708053588867,6.4754133224487305,8.207146406173706
H3K27me3_RL_cancer,1,64,1,870,2.9745421409606934,8.033997535705566,4.097155570983887,3.2790887355804443
H3K27me3_RL_cancer,1,64,2,2150,2.148421287536621,2.65853214263916,5.679811477661133,5.141388654708862
H3K27me3_RL_cancer,1,128,1,651,2.9110443592071533,8.107442855834961,4.103797912597656,2.793205976486206
H3K27me3_RL_cancer,1,128,2,3919,0.9747998118400574,1.4009071588516235,5.300656318664551,8.564527988433838
H3K27me3_RL_cancer,1,256,1,554,2.7992405891418457,7.848652362823486,4.091913223266602,2.752670764923096
H3K27me3_RL_cancer,1,256,2,2348,0.93740576505661,1.5031341314315796,5.031548500061035,6.359140396118164
H3K27me3_RL_cancer,1,512,1,390,2.537876605987549,7.832185745239258,3.945214748382568,2.614125490188598
H3K27me3_RL_cancer,1,512,2,1511,0.8889434337615967,1.7237801551818848,4.817883968353272,5.372061491012573
H3K27me3_RL_cancer,2,1,1,21996,3.372905969619751,4.258967876434326,2.759559154510498,40.33851766586304
H3K27me3_RL_cancer,2,1,2,18265,3.419848680496216,0.5938146710395813,3.638115406036377,32.81597018241882
H3K27me3_RL_cancer,2,2,1,21537,3.372905969619751,4.258967876434326,2.759559154510498,39.71948719024658
H3K27me3_RL_cancer,2,2,2,17807,3.4199910163879395,0.5938146710395813,3.638216972351074,34.04214596748352
H3K27me3_RL_cancer,2,4,1,22216,3.372905969619751,4.262969493865967,2.759974479675293,41.65897536277771
H3K27me3_RL_cancer,2,4,2,18485,3.419938325881958,0.5938146114349365,3.63843297958374,34.39399242401123
H3K27me3_RL_cancer,2,8,1,1155,4.438200950622559,9.49450397491455,5.509292602539063,3.716055393218994
H3K27me3_RL_cancer,2,8,2,3669,1.9495688676834104,2.274106502532959,6.153046607971191,8.11829686164856
H3K27me3_RL_cancer,2,16,1,885,4.112926483154297,9.42819881439209,5.113167762756348,3.2610557079315186
H3K27me3_RL_cancer,2,16,2,2745,1.9174578189849851,2.305356979370117,6.128813743591309,6.322365045547485
H3K27me3_RL_cancer,2,32,1,466,2.52709698677063,10.435898780822754,3.9388585090637207,2.330475330352783
H3K27me3_RL_cancer,2,32,2,902,1.7820152044296265,2.1267566680908203,5.48097562789917,3.256042718887329
H3K27me3_RL_cancer,2,64,1,424,2.420567750930786,8.956007957458496,3.6660268306732178,2.415369033813477
H3K27me3_RL_cancer,2,64,2,604,1.834040641784668,2.118600368499756,5.579039096832275,2.795195341110229
H3K27me3_RL_cancer,2,128,1,308,2.354691743850708,7.961451530456543,3.8198509216308594,2.328368186950684
H3K27me3_RL_cancer,2,128,2,527,1.5966196060180664,2.424138069152832,5.27482271194458,2.6921207904815674
H3K27me3_RL_cancer,2,256,1,247,1.6796038150787354,6.8414411544799805,4.060554504394531,2.3429999351501465
H3K27me3_RL_cancer,2,256,2,493,1.0408929586410522,1.8303455114364624,4.1785173416137695,3.357078790664673
H3K27me3_RL_cancer,2,512,1,302,1.1157691478729248,5.642024517059326,4.997488975524902,4.2051100730896
