dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K36me3_TDH_other,1,1,1,11586,0.0469452962279319,0.3566564917564392,4.311292171478272,18.28384804725647
H3K36me3_TDH_other,1,1,2,416,11.76296043395996,0.428911805152893,7.717767238616943,2.226957321166992
H3K36me3_TDH_other,1,2,1,11327,0.0468542203307151,0.3338105380535126,4.272072792053223,18.697962999343872
H3K36me3_TDH_other,1,2,2,350,11.502999305725098,0.4431818723678589,7.565890312194824,2.375196933746338
H3K36me3_TDH_other,1,4,1,13237,1.1166919469833374,0.3579325079917907,0.7313835024833679,21.560505867004395
H3K36me3_TDH_other,1,4,2,12499,1.3111759424209597,0.4896211326122284,1.7220799922943115,20.645303964614868
H3K36me3_TDH_other,1,8,1,8537,0.0468458086252212,0.4267805814743042,4.417939186096191,14.48623776435852
H3K36me3_TDH_other,1,8,2,187,10.55576229095459,0.4071565866470337,7.016977787017822,2.120307445526123
H3K36me3_TDH_other,1,16,1,8001,0.0468025878071785,0.5171610116958618,4.542113304138184,13.741426944732666
H3K36me3_TDH_other,1,16,2,151,10.84518051147461,0.4708639979362488,7.589381217956543,1.8049800395965576
H3K36me3_TDH_other,1,32,1,5876,0.0471038371324539,0.6909710764884949,4.702256202697754,10.839334726333618
H3K36me3_TDH_other,1,32,2,95,10.484454154968262,0.4182163178920746,7.687880516052246,1.7450847625732422
H3K36me3_TDH_other,1,64,1,4582,0.0468397475779056,1.2494338750839231,4.774649620056152,8.903553247451782
H3K36me3_TDH_other,1,64,2,54,8.5101318359375,0.4398788213729858,7.346920967102051,1.7816267013549805
H3K36me3_TDH_other,1,128,1,3656,0.0469290800392627,2.362375259399414,6.837105751037598,7.738357782363892
H3K36me3_TDH_other,1,128,2,43,6.915683746337891,0.3917466998100281,7.723281860351562,1.5942683219909668
H3K36me3_TDH_other,1,256,1,2265,0.046948529779911,2.504884958267212,6.808639526367188,5.606200933456421
H3K36me3_TDH_other,1,256,2,31,5.877633094787598,0.416921317577362,8.778276443481445,1.713666915893555
H3K36me3_TDH_other,1,512,1,2019,0.0468071997165679,2.7605721950531006,6.476232051849365,5.727565765380859
H3K36me3_TDH_other,1,512,2,20,2.103837728500366,0.3732213675975799,12.810400009155272,1.7415201663970947
H3K36me3_TDH_other,2,1,1,12932,1.1165432929992676,0.3579325079917907,0.7313350439071655,23.92772650718689
H3K36me3_TDH_other,2,1,2,12193,1.3109632730484009,0.489621102809906,1.7216746807098389,22.824087381362915
H3K36me3_TDH_other,2,2,1,12460,1.1167386770248413,0.3579325079917907,0.7313987016677856,23.55671787261963
H3K36me3_TDH_other,2,2,2,11720,1.3107901811599731,0.489621102809906,1.7214549779891968,22.381178617477417
H3K36me3_TDH_other,2,4,1,13217,1.0870394706726074,0.3205541372299194,0.725644588470459,25.605562925338745
H3K36me3_TDH_other,2,4,2,407,11.573651313781738,0.431592732667923,7.883436679840088,2.4846041202545166
H3K36me3_TDH_other,2,8,1,6127,0.0469089858233928,0.2446647435426712,4.130910396575928,12.477859020233154
H3K36me3_TDH_other,2,8,2,129,10.286626815795898,0.3902028501033783,7.132994651794434,1.9729032516479488
H3K36me3_TDH_other,2,16,1,4003,0.0468561314046382,2.6450862884521484,5.136425495147705,8.96416974067688
H3K36me3_TDH_other,2,16,2,88,8.874277114868164,0.430656373500824,6.903878211975098,1.902343511581421
H3K36me3_TDH_other,2,32,1,2844,0.0472465828061103,1.8538239002227783,6.669241428375244,6.917932033538818
H3K36me3_TDH_other,2,32,2,65,7.951942443847656,0.4178696870803833,7.042413234710693,1.8527030944824217
H3K36me3_TDH_other,2,64,1,2152,0.0473636239767074,1.5800069570541382,6.313687324523926,5.911417007446289
H3K36me3_TDH_other,2,64,2,43,2.247692584991455,0.3728710114955902,12.773244857788086,1.6472082138061523
H3K36me3_TDH_other,2,128,1,1462,0.0468031242489814,2.393759489059448,6.126873016357422,4.848295450210571
H3K36me3_TDH_other,2,128,2,24,1.0503205060958862,0.4206931591033935,14.095438957214355,1.698450803756714
H3K36me3_TDH_other,2,256,1,855,0.0467968881130218,4.234719753265381,4.77119255065918,4.301780462265015
H3K36me3_TDH_other,2,256,2,16,0.261288046836853,0.4322664737701416,8.776629447937012,1.8814504146575928
H3K36me3_TDH_other,2,512,1,338,0.0467968955636024,4.9374098777771,4.634499549865723,3.571158170700073
H3K36me3_TDH_other,2,512,2,8,0.095515988767147,0.3992602825164795,6.500391960144043,2.002904176712036
H3K36me3_TDH_other,3,1,1,13888,1.1167213916778564,0.3579324781894684,0.7313929796218872,28.522347450256348
H3K36me3_TDH_other,3,1,2,13152,1.311143398284912,0.4896211326122284,1.7219040393829346,27.255418300628666
H3K36me3_TDH_other,3,2,1,12845,1.116621494293213,0.3579325079917907,0.7313605546951294,28.373202085494995
H3K36me3_TDH_other,3,2,2,12106,1.3108654022216797,0.489621102809906,1.7215503454208374,33.867058992385864
H3K36me3_TDH_other,3,4,1,1331,0.8673689961433411,0.3579331040382385,0.6894596815109253,4.434093236923218
H3K36me3_TDH_other,3,4,2,1273,0.8729152679443359,0.4896228909492492,1.1577885150909424,4.631717205047607
H3K36me3_TDH_other,3,8,1,5594,0.0490318946540355,3.6529390811920166,5.382698059082031,13.38750457763672
H3K36me3_TDH_other,3,8,2,134,10.586721420288086,0.3788111209869385,7.397331237792969,2.136843204498291
H3K36me3_TDH_other,3,16,1,3377,0.0475993081927299,1.3515565395355225,5.91258716583252,8.896477699279785
H3K36me3_TDH_other,3,16,2,87,8.48137378692627,0.4982354342937469,7.085605621337891,2.028754949569702
H3K36me3_TDH_other,3,32,1,2183,0.0476135872304439,1.383681297302246,6.462510108947754,6.449464797973633
H3K36me3_TDH_other,3,32,2,52,6.239098072052002,0.4178056120872497,7.218984127044678,1.9543101787567136
H3K36me3_TDH_other,3,64,1,1849,0.0475589781999588,1.5718194246292114,6.276899814605713,6.07266092300415
H3K36me3_TDH_other,3,64,2,41,1.377629041671753,0.4448851943016052,16.114120483398438,1.898437261581421
H3K36me3_TDH_other,3,128,1,616,0.0479506216943264,2.7046172618865967,5.475973129272461,3.423167943954468
H3K36me3_TDH_other,3,128,2,32,0.2141913324594497,0.5657713413238525,7.263913631439209,1.9213287830352783
H3K36me3_TDH_other,3,256,1,588,0.046798150986433,4.06942081451416,4.931817054748535,4.080779552459717
H3K36me3_TDH_other,3,256,2,11,0.1128421202301979,0.4041405320167541,5.944541931152344,1.981689214706421
H3K36me3_TDH_other,3,512,1,348,0.0467968881130218,4.087062358856201,4.208760738372803,5.5809853076934814
H3K36me3_TDH_other,3,512,2,6,0.0473406203091144,0.4312875866889953,6.4892897605896,2.1831159591674805
