dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K4me3_PGP_immune,1,1,1,7042,2.345920324325561,1.9706450700759888,4.625082015991211,12.593875885009766
H3K4me3_PGP_immune,1,1,2,6619,1.9195748567581177,2.2917301654815674,2.391474485397339,11.81105899810791
H3K4me3_PGP_immune,1,2,1,6680,2.34789514541626,1.9711663722991943,4.68485689163208,11.957853078842165
H3K4me3_PGP_immune,1,2,2,6327,1.9168325662612915,2.299098014831543,2.393378973007202,11.673566341400146
H3K4me3_PGP_immune,1,4,1,15611,2.677695751190185,2.4870078563690186,2.5600292682647705,25.994384050369263
H3K4me3_PGP_immune,1,4,2,12696,2.513221502304077,2.6982574462890625,2.637359619140625,21.942281007766724
H3K4me3_PGP_immune,1,8,1,719,3.6753592491149902,2.944087028503418,3.843787431716919,3.0172712802886963
H3K4me3_PGP_immune,1,8,2,4179,1.916794180870056,2.319635391235352,2.409002780914306,8.520431995391846
H3K4me3_PGP_immune,1,16,1,4046,2.3658318519592285,1.9735703468322756,4.630155086517334,8.140354871749878
H3K4me3_PGP_immune,1,16,2,3860,1.9156599044799805,2.3428759574890137,2.419287204742432,7.748479843139648
H3K4me3_PGP_immune,1,32,1,3187,2.3684442043304443,1.9964114427566528,4.137996673583984,6.92271900177002
H3K4me3_PGP_immune,1,32,2,2948,1.9157856702804563,2.347017765045166,2.425007104873657,6.519230127334595
H3K4me3_PGP_immune,1,64,1,1813,2.259068489074707,2.0933609008789062,4.554685115814209,4.859700679779053
H3K4me3_PGP_immune,1,64,2,1990,1.7919931411743164,2.25671911239624,2.3866231441497803,5.193742275238037
H3K4me3_PGP_immune,1,128,1,1044,2.275454521179199,2.1668505668640137,3.4190773963928223,3.7144815921783447
H3K4me3_PGP_immune,1,128,2,1818,1.6895408630371094,2.127470016479492,2.372493028640747,5.13668704032898
H3K4me3_PGP_immune,1,256,1,1201,2.1414341926574707,1.9961379766464236,3.8792669773101807,4.408587455749512
H3K4me3_PGP_immune,1,256,2,952,1.672877073287964,2.046173334121704,2.3702070713043213,3.8334531784057617
H3K4me3_PGP_immune,1,512,1,698,2.103797912597656,1.9153813123703003,2.6739447116851807,3.734445810317993
H3K4me3_PGP_immune,1,512,2,1093,1.5955525636672974,1.9939656257629397,2.375118970870972,4.787536144256592
H3K4me3_PGP_immune,2,1,1,15301,2.677695751190185,2.4870078563690186,2.5598669052124023,28.43721032142639
H3K4me3_PGP_immune,2,1,2,12387,2.513185501098633,2.6982574462890625,2.63735580444336,23.616048574447632
H3K4me3_PGP_immune,2,2,1,14821,2.677695751190185,2.4870078563690186,2.5598669052124023,29.294198274612427
H3K4me3_PGP_immune,2,2,2,11906,2.513209581375122,2.6982574462890625,2.6373586654663086,23.658914804458615
H3K4me3_PGP_immune,2,4,1,15532,2.677695751190185,2.4870078563690186,2.5595145225524902,30.72112250328064
H3K4me3_PGP_immune,2,4,2,12616,2.513225793838501,2.6982576847076416,2.637359857559204,24.68968892097473
H3K4me3_PGP_immune,2,8,1,3382,2.274153232574463,1.9235856533050537,3.66592788696289,8.064413070678711
H3K4me3_PGP_immune,2,8,2,1034,1.9288443326950075,2.392141103744507,2.5814545154571533,3.796938180923462
H3K4me3_PGP_immune,2,16,1,1368,2.1957688331604004,2.1227269172668457,2.3992156982421875,4.275897026062012
H3K4me3_PGP_immune,2,16,2,1888,1.8658151626586916,2.3171842098236084,2.449257135391236,5.358877420425415
H3K4me3_PGP_immune,2,32,1,575,2.194664001464844,1.993700623512268,2.2772176265716557,2.8779661655426025
H3K4me3_PGP_immune,2,32,2,1035,1.6950910091400146,2.188005924224853,2.3753316402435303,3.7502057552337646
H3K4me3_PGP_immune,2,64,1,570,2.0900583267211914,1.939447999000549,2.2140653133392334,2.8022592067718506
H3K4me3_PGP_immune,2,64,2,993,1.5951471328735352,1.943887948989868,2.3442482948303223,3.853299140930176
H3K4me3_PGP_immune,2,128,1,359,2.060941457748413,1.877262830734253,2.9222371578216557,2.537041187286377
H3K4me3_PGP_immune,2,128,2,1398,1.539006590843201,1.94649076461792,2.3570144176483154,5.412579774856567
H3K4me3_PGP_immune,2,256,1,318,2.0486960411071777,1.9140037298202517,3.487448215484619,2.967761754989624
H3K4me3_PGP_immune,2,256,2,533,1.5469141006469729,1.96105432510376,2.356918811798096,3.874945640563965
H3K4me3_PGP_immune,2,512,1,193,2.005507230758667,1.9339154958724976,4.713746547698975,3.724421262741089
H3K4me3_PGP_immune,2,512,2,272,1.5711796283721924,1.9385892152786253,2.29679799079895,4.650355577468872
H3K4me3_PGP_immune,3,1,1,16272,2.677695751190185,2.4870078563690186,2.5598669052124023,33.49528646469116
H3K4me3_PGP_immune,3,1,2,13358,2.513192892074585,2.6982574462890625,2.637356758117676,28.51199746131897
H3K4me3_PGP_immune,3,2,1,15213,2.677695751190185,2.4870078563690186,2.5598669052124023,34.142356872558594
H3K4me3_PGP_immune,3,2,2,12301,2.5131304264068604,2.6982572078704834,2.6373507976531982,27.93006801605225
H3K4me3_PGP_immune,3,4,1,2462,2.677695751190185,2.486992597579956,2.559677124023437,6.97077751159668
H3K4me3_PGP_immune,3,4,2,1431,2.507525682449341,2.6982574462890625,2.6385045051574707,4.745426893234253
H3K4me3_PGP_immune,3,8,1,3738,2.249706745147705,1.790440797805786,4.798270225524902,9.930490493774414
H3K4me3_PGP_immune,3,8,2,1966,1.7870327234268188,2.0404720306396484,2.2550606727600098,6.001762866973877
H3K4me3_PGP_immune,3,16,1,2613,2.2656800746917725,1.90151047706604,3.543995857238769,7.421891212463379
H3K4me3_PGP_immune,3,16,2,3346,1.6349527835845947,2.0323050022125244,2.3583996295928955,8.88273000717163
