dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K4me3_XJ_immune,3,1,1,13226,2.55711030960083,1.8471635580062864,1.9133816957473757,29.012370347976685
H3K4me3_XJ_immune,3,1,2,12661,1.979547381401062,1.7237685918807983,2.487356424331665,26.831336498260494
H3K4me3_XJ_immune,3,2,1,12161,2.5571177005767822,1.8471630811691284,1.9133728742599487,26.90767240524292
H3K4me3_XJ_immune,3,2,2,11593,1.979625344276428,1.7237684726715088,2.487504482269287,25.749879598617557
H3K4me3_XJ_immune,3,4,1,1432,2.5530261993408203,1.847167015075684,1.9202669858932493,4.812252759933472
H3K4me3_XJ_immune,3,4,2,1351,1.958109974861145,1.7237685918807983,2.445314884185791,4.699842929840088
H3K4me3_XJ_immune,3,8,1,1852,1.6652710437774658,1.69512677192688,1.7381471395492554,5.732286214828491
H3K4me3_XJ_immune,3,8,2,2584,1.4683785438537598,1.6258624792099,2.3368613719940186,7.370239734649658
H3K4me3_XJ_immune,3,16,1,1079,1.43898606300354,1.5991225242614746,1.803320050239563,4.426364183425903
H3K4me3_XJ_immune,3,16,2,1446,1.4466805458068848,1.5696227550506592,2.164804697036743,5.034980535507202
H3K4me3_XJ_immune,3,32,1,1215,1.2474576234817505,1.5663418769836426,2.02425479888916,4.636307239532471
H3K4me3_XJ_immune,3,32,2,421,1.4480576515197754,1.5715264081954956,2.1697323322296143,2.9129831790924072
H3K4me3_XJ_immune,3,64,1,654,1.3404531478881836,1.583828091621399,1.8566999435424805,3.586300611495972
H3K4me3_XJ_immune,3,64,2,566,1.35551655292511,1.414189696311951,2.204908847808838,3.376428365707397
H3K4me3_XJ_immune,3,128,1,622,1.2701737880706787,1.5586462020874023,1.9505207538604736,4.015171766281128
H3K4me3_XJ_immune,3,128,2,582,1.221150279045105,1.3077044486999512,2.318258047103882,3.90132474899292
H3K4me3_XJ_immune,3,256,1,354,1.1038047075271606,1.4863593578338623,1.8894972801208496,4.17119026184082
H3K4me3_XJ_immune,3,256,2,326,1.1666195392608645,1.430369853973389,2.255598306655884,4.045425653457642
H3K4me3_XJ_immune,3,512,1,232,1.0916489362716677,1.5700204372406006,1.9005026817321775,6.23682713508606
H3K4me3_XJ_immune,3,512,2,202,1.000805377960205,1.289523720741272,2.649951696395874,6.011429071426392
H3K4me3_XJ_immune,1,1,1,1062,3.457682847976685,3.4212865829467773,3.613332986831665,3.378859043121338
H3K4me3_XJ_immune,1,1,2,3703,1.776337742805481,2.2938473224639893,2.741760015487671,7.198687791824341
H3K4me3_XJ_immune,1,2,1,928,3.4175593852996826,3.4086170196533203,3.578610420227051,3.2227413654327397
H3K4me3_XJ_immune,1,2,2,3432,1.7730016708374023,2.3259799480438232,2.783320426940918,6.947693109512329
H3K4me3_XJ_immune,1,4,1,12562,2.557111978530884,1.8471624851226809,1.913379788398743,20.54003524780273
H3K4me3_XJ_immune,1,4,2,11995,1.979600429534912,1.7237684726715088,2.487457275390625,20.778721809387207
H3K4me3_XJ_immune,1,8,1,577,2.8423242568969727,3.3537490367889404,3.2271738052368164,2.6870248317718506
H3K4me3_XJ_immune,1,8,2,1769,1.832338571548462,2.339196920394897,2.7928500175476074,4.577871322631836
H3K4me3_XJ_immune,1,16,1,421,3.1498706340789795,3.517362594604492,3.550738573074341,2.478297472000122
H3K4me3_XJ_immune,1,16,2,1581,1.846508502960205,2.456395149230957,2.8752124309539795,4.290133237838745
H3K4me3_XJ_immune,1,32,1,2005,1.6354752779006958,1.7963919639587402,1.89298677444458,4.944461345672607
H3K4me3_XJ_immune,1,32,2,1117,1.8373444080352783,2.4103028774261475,2.849710702896118,3.607177972793579
H3K4me3_XJ_immune,1,64,1,955,1.6195063591003418,1.7259454727172852,1.780742883682251,3.371980667114258
H3K4me3_XJ_immune,1,64,2,2846,1.3946659564971924,1.481786608695984,2.214747190475464,6.554894685745239
H3K4me3_XJ_immune,1,128,1,765,1.570502996444702,1.7186858654022217,1.7478861808776855,3.178884029388428
H3K4me3_XJ_immune,1,128,2,1484,1.4237303733825684,1.4588032960891724,2.140954732894897,4.510939359664917
H3K4me3_XJ_immune,1,256,1,751,1.374561786651611,1.6458511352539062,1.815296292304993,3.3414385318756104
H3K4me3_XJ_immune,1,256,2,1727,1.2112020254135132,1.514726161956787,2.3589234352111816,5.412829637527466
H3K4me3_XJ_immune,1,512,1,958,1.1973040103912354,1.550729513168335,2.0105106830596924,4.313092947006226
H3K4me3_XJ_immune,1,512,2,574,1.3846471309661863,1.5334880352020264,2.256549596786499,3.3317694664001465
H3K4me3_XJ_immune,2,1,1,12250,2.557112455368042,1.8471623659133911,1.913379192352295,22.823082208633423
H3K4me3_XJ_immune,2,1,2,11683,1.979557752609253,1.7237684726715088,2.487375974655152,21.74367070198059
H3K4me3_XJ_immune,2,2,1,11767,2.557119369506836,1.8471635580062864,1.913371205329895,23.2900505065918
H3K4me3_XJ_immune,2,2,2,11199,1.9795676469802856,1.7237684726715088,2.4873950481414795,22.175827264785767
H3K4me3_XJ_immune,2,4,1,12482,2.55711030960083,1.847163677215576,1.9133814573287964,24.951940536499023
H3K4me3_XJ_immune,2,4,2,11920,1.9792462587356567,1.7207646369934082,2.485670566558838,23.744526624679565
H3K4me3_XJ_immune,2,8,1,1664,1.651478886604309,1.755303978919983,1.807029604911804,4.980341672897339
H3K4me3_XJ_immune,2,8,2,1226,1.750921368598938,2.2727839946746826,2.7301511764526367,4.142439365386963
H3K4me3_XJ_immune,2,16,1,909,1.4289439916610718,1.6407461166381836,1.7451452016830444,3.5506813526153564
H3K4me3_XJ_immune,2,16,2,853,1.5703967809677124,1.6787937879562378,2.195038318634033,3.51932144165039
H3K4me3_XJ_immune,2,32,1,742,1.4230562448501587,1.6587302684783936,1.7821993827819824,3.3080568313598637
H3K4me3_XJ_immune,2,32,2,1231,1.2832125425338743,1.416449785232544,2.190957307815552,4.229595422744751
H3K4me3_XJ_immune,2,64,1,1516,1.17038893699646,1.5888534784317017,2.1099302768707275,5.100088834762573
H3K4me3_XJ_immune,2,64,2,595,1.4175184965133667,1.4197183847427368,2.087393522262573,3.082228422164917
H3K4me3_XJ_immune,2,128,1,722,1.291541337966919,1.5859793424606323,1.928008794784546,3.6676759719848633
H3K4me3_XJ_immune,2,128,2,923,1.1764898300170898,1.4127662181854248,2.349330186843872,4.312111616134644
H3K4me3_XJ_immune,2,256,1,608,1.1642526388168335,1.5562852621078491,1.91703462600708,4.179782867431641
H3K4me3_XJ_immune,2,256,2,423,1.2652989625930786,1.4337918758392334,2.213801145553589,3.5094785690307617
H3K4me3_XJ_immune,2,512,1,303,1.219810128211975,1.6083377599716189,1.913623094558716,4.747586011886597
H3K4me3_XJ_immune,2,512,2,257,1.15154230594635,1.36713445186615,2.2824506759643555,4.485544681549072
