dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K9me3_TDH_BP,1,1,1,410,10.330195426940918,15.91421604156494,21.056188583374023,2.445340156555176
H3K9me3_TDH_BP,1,1,2,8350,1.4909586906433103,1.3254070281982422,1.4068971872329712,14.24335265159607
H3K9me3_TDH_BP,1,2,1,352,10.141474723815918,15.78523063659668,20.79505920410156,2.2035396099090576
H3K9me3_TDH_BP,1,2,2,7910,1.4863560199737549,1.3310240507125854,1.4135544300079346,13.781412601470947
H3K9me3_TDH_BP,1,4,1,15112,1.1558009386062622,1.020453691482544,1.8320399522781368,24.548131704330444
H3K9me3_TDH_BP,1,4,2,13191,2.0405080318450928,0.9076080918312072,1.244189739227295,21.967175245285038
H3K9me3_TDH_BP,1,8,1,189,9.382436752319336,15.283218383789062,19.450101852416992,2.123951196670532
H3K9me3_TDH_BP,1,8,2,5625,1.4768182039260864,1.375325083732605,1.4316049814224243,10.304080963134766
H3K9me3_TDH_BP,1,16,1,5318,0.8887432813644409,0.9299944639205932,2.2659385204315186,10.187617778778076
H3K9me3_TDH_BP,1,16,2,4887,1.477880358695984,1.3986939191818235,1.4416035413742063,9.190149068832396
H3K9me3_TDH_BP,1,32,1,4121,0.8435453176498413,0.9849306344985962,2.4370012283325195,8.274333238601685
H3K9me3_TDH_BP,1,32,2,3692,1.2460967302322388,1.3380714654922483,1.533117651939392,7.401892423629761
H3K9me3_TDH_BP,1,64,1,2719,0.8258870244026184,1.0252636671066284,2.516265153884888,6.181237697601318
H3K9me3_TDH_BP,1,64,2,2718,1.1200898885726929,1.2957751750946045,1.658134937286377,6.1820149421691895
H3K9me3_TDH_BP,1,128,1,1771,0.8065617084503174,1.111304759979248,2.7902262210845947,4.859738349914551
H3K9me3_TDH_BP,1,128,2,1557,1.1901700496673584,1.5624350309371948,1.7343608140945437,4.647305727005005
H3K9me3_TDH_BP,1,256,1,2568,0.7329233884811401,0.9552792906761168,2.771078109741211,6.947624444961548
H3K9me3_TDH_BP,1,256,2,1473,1.048104763031006,1.3852531909942627,1.79277503490448,4.750182151794434
H3K9me3_TDH_BP,1,512,1,2056,0.7168285846710205,0.9109948873519896,2.1535403728485107,6.708801507949829
