Epoch 1/1000 - Train Loss: 1.5894, Val Loss: 1.2267, Test Loss: 1.1992
Epoch 2/1000 - Train Loss: 1.3538, Val Loss: 1.1884, Test Loss: 1.0975
Epoch 3/1000 - Train Loss: 1.3433, Val Loss: 1.1877, Test Loss: 1.0844
Epoch 4/1000 - Train Loss: 1.3388, Val Loss: 1.1880, Test Loss: 1.0837
Epoch 5/1000 - Train Loss: 1.3371, Val Loss: 1.1883, Test Loss: 1.0847
Epoch 6/1000 - Train Loss: 1.3358, Val Loss: 1.1886, Test Loss: 1.0787
Epoch 7/1000 - Train Loss: 1.3372, Val Loss: 1.1888, Test Loss: 1.0766
Epoch 8/1000 - Train Loss: 1.3390, Val Loss: 1.1890, Test Loss: 1.0871
Epoch 9/1000 - Train Loss: 1.3360, Val Loss: 1.1892, Test Loss: 1.0781
Epoch 10/1000 - Train Loss: 1.3341, Val Loss: 1.1894, Test Loss: 1.0764
Epoch 11/1000 - Train Loss: 1.3397, Val Loss: 1.1895, Test Loss: 1.0744
Epoch 12/1000 - Train Loss: 1.3416, Val Loss: 1.1901, Test Loss: 1.0740
Epoch 13/1000 - Train Loss: 1.3369, Val Loss: 1.1897, Test Loss: 1.0744
Epoch 14/1000 - Train Loss: 1.3359, Val Loss: 1.1898, Test Loss: 1.0767
Epoch 15/1000 - Train Loss: 1.3344, Val Loss: 1.1899, Test Loss: 1.0740
Epoch 16/1000 - Train Loss: 1.3400, Val Loss: 1.1900, Test Loss: 1.0817
Epoch 17/1000 - Train Loss: 1.3371, Val Loss: 1.1901, Test Loss: 1.0737
Epoch 18/1000 - Train Loss: 1.3320, Val Loss: 1.1901, Test Loss: 1.0836
Epoch 19/1000 - Train Loss: 1.3356, Val Loss: 1.1902, Test Loss: 1.0828
Epoch 20/1000 - Train Loss: 1.3370, Val Loss: 1.1902, Test Loss: 1.0844
Epoch 21/1000 - Train Loss: 1.3320, Val Loss: 1.1929, Test Loss: 1.0728
Epoch 22/1000 - Train Loss: 1.3378, Val Loss: 1.1904, Test Loss: 1.0753
Epoch 23/1000 - Train Loss: 1.3419, Val Loss: 1.1904, Test Loss: 1.0735
Epoch 24/1000 - Train Loss: 1.3344, Val Loss: 1.1904, Test Loss: 1.0821
Epoch 25/1000 - Train Loss: 1.3332, Val Loss: 1.1905, Test Loss: 1.0737
Epoch 26/1000 - Train Loss: 1.3383, Val Loss: 1.1941, Test Loss: 1.0725
Epoch 27/1000 - Train Loss: 1.3373, Val Loss: 1.1905, Test Loss: 1.0766
Epoch 28/1000 - Train Loss: 1.3352, Val Loss: 1.1906, Test Loss: 1.0752
Epoch 29/1000 - Train Loss: 1.3342, Val Loss: 1.1906, Test Loss: 1.0745
Epoch 30/1000 - Train Loss: 1.3350, Val Loss: 1.1906, Test Loss: 1.0754
Epoch 31/1000 - Train Loss: 1.3313, Val Loss: 1.1907, Test Loss: 1.0830
Epoch 32/1000 - Train Loss: 1.3405, Val Loss: 1.1921, Test Loss: 1.0920
Epoch 33/1000 - Train Loss: 1.3347, Val Loss: 1.1907, Test Loss: 1.0764
Epoch 34/1000 - Train Loss: 1.3313, Val Loss: 1.1907, Test Loss: 1.0749
Epoch 35/1000 - Train Loss: 1.3354, Val Loss: 1.1908, Test Loss: 1.0728
Epoch 36/1000 - Train Loss: 1.3399, Val Loss: 1.1910, Test Loss: 1.0724
Epoch 37/1000 - Train Loss: 1.3402, Val Loss: 1.1908, Test Loss: 1.0734
Epoch 38/1000 - Train Loss: 1.3353, Val Loss: 1.1908, Test Loss: 1.0792
Epoch 39/1000 - Train Loss: 1.3466, Val Loss: 1.1908, Test Loss: 1.0738
Epoch 40/1000 - Train Loss: 1.3332, Val Loss: 1.1909, Test Loss: 1.0768
Epoch 41/1000 - Train Loss: 1.3434, Val Loss: 1.1909, Test Loss: 1.0846
Epoch 42/1000 - Train Loss: 1.3354, Val Loss: 1.1909, Test Loss: 1.0832
Epoch 43/1000 - Train Loss: 1.3380, Val Loss: 1.1909, Test Loss: 1.0772
Epoch 44/1000 - Train Loss: 1.3335, Val Loss: 1.1909, Test Loss: 1.0848
Epoch 45/1000 - Train Loss: 1.3365, Val Loss: 1.1909, Test Loss: 1.0739
Epoch 46/1000 - Train Loss: 1.3339, Val Loss: 1.1909, Test Loss: 1.0765
Epoch 47/1000 - Train Loss: 1.3356, Val Loss: 1.1909, Test Loss: 1.0739
Epoch 48/1000 - Train Loss: 1.3426, Val Loss: 1.1910, Test Loss: 1.0726
Epoch 49/1000 - Train Loss: 1.3319, Val Loss: 1.1910, Test Loss: 1.0764
Epoch 50/1000 - Train Loss: 1.3333, Val Loss: 1.1910, Test Loss: 1.0773
Epoch 51/1000 - Train Loss: 1.3336, Val Loss: 1.1910, Test Loss: 1.0807
Epoch 52/1000 - Train Loss: 1.3361, Val Loss: 1.1910, Test Loss: 1.0785
Epoch 53/1000 - Train Loss: 1.3358, Val Loss: 1.1910, Test Loss: 1.0766
Epoch 54/1000 - Train Loss: 1.3371, Val Loss: 1.1910, Test Loss: 1.0843
