H3K36me3_AM_immune mean 100 1 4 2
cpu
Epoch 1/1000 - Train Loss: 8.8098, Val Loss: 8.0987, Test Loss: 8.1661
Epoch 2/1000 - Train Loss: 7.7181, Val Loss: 6.9830, Test Loss: 7.0567
Epoch 3/1000 - Train Loss: 6.6280, Val Loss: 5.9554, Test Loss: 6.0002
Epoch 4/1000 - Train Loss: 5.6135, Val Loss: 5.0129, Test Loss: 5.0266
Epoch 5/1000 - Train Loss: 4.6744, Val Loss: 4.1158, Test Loss: 4.1155
Epoch 6/1000 - Train Loss: 3.7833, Val Loss: 3.2376, Test Loss: 3.2318
Epoch 7/1000 - Train Loss: 2.9090, Val Loss: 2.3711, Test Loss: 2.3624
Epoch 8/1000 - Train Loss: 2.0543, Val Loss: 1.5275, Test Loss: 1.5256
Epoch 9/1000 - Train Loss: 1.3014, Val Loss: 0.8548, Test Loss: 0.9020
Epoch 10/1000 - Train Loss: 0.8061, Val Loss: 0.5049, Test Loss: 0.5747
Epoch 11/1000 - Train Loss: 0.5611, Val Loss: 0.3567, Test Loss: 0.4125
Epoch 12/1000 - Train Loss: 0.4450, Val Loss: 0.2985, Test Loss: 0.3315
Epoch 13/1000 - Train Loss: 0.3852, Val Loss: 0.2678, Test Loss: 0.2879
Epoch 14/1000 - Train Loss: 0.3544, Val Loss: 0.2650, Test Loss: 0.2740
Epoch 15/1000 - Train Loss: 0.3408, Val Loss: 0.2674, Test Loss: 0.2679
Epoch 16/1000 - Train Loss: 0.3371, Val Loss: 0.2706, Test Loss: 0.2661
Epoch 17/1000 - Train Loss: 0.3361, Val Loss: 0.2719, Test Loss: 0.2654
Epoch 18/1000 - Train Loss: 0.3359, Val Loss: 0.2739, Test Loss: 0.2647
Epoch 19/1000 - Train Loss: 0.3363, Val Loss: 0.2775, Test Loss: 0.2641
Epoch 20/1000 - Train Loss: 0.3372, Val Loss: 0.2779, Test Loss: 0.2640
Epoch 21/1000 - Train Loss: 0.3351, Val Loss: 0.2770, Test Loss: 0.2641
Epoch 22/1000 - Train Loss: 0.3354, Val Loss: 0.2765, Test Loss: 0.2641
Epoch 23/1000 - Train Loss: 0.3352, Val Loss: 0.2773, Test Loss: 0.2640
Epoch 24/1000 - Train Loss: 0.3352, Val Loss: 0.2767, Test Loss: 0.2640
Epoch 25/1000 - Train Loss: 0.3348, Val Loss: 0.2769, Test Loss: 0.2640
Epoch 26/1000 - Train Loss: 0.3349, Val Loss: 0.2778, Test Loss: 0.2638
Epoch 27/1000 - Train Loss: 0.3362, Val Loss: 0.2800, Test Loss: 0.2638
Epoch 28/1000 - Train Loss: 0.3345, Val Loss: 0.2778, Test Loss: 0.2638
Epoch 29/1000 - Train Loss: 0.3361, Val Loss: 0.2766, Test Loss: 0.2639
Epoch 30/1000 - Train Loss: 0.3348, Val Loss: 0.2781, Test Loss: 0.2637
Epoch 31/1000 - Train Loss: 0.3350, Val Loss: 0.2763, Test Loss: 0.2638
Epoch 32/1000 - Train Loss: 0.3348, Val Loss: 0.2782, Test Loss: 0.2637
Epoch 33/1000 - Train Loss: 0.3348, Val Loss: 0.2762, Test Loss: 0.2638
Epoch 34/1000 - Train Loss: 0.3351, Val Loss: 0.2784, Test Loss: 0.2637
Epoch 35/1000 - Train Loss: 0.3350, Val Loss: 0.2779, Test Loss: 0.2637
Epoch 36/1000 - Train Loss: 0.3361, Val Loss: 0.2779, Test Loss: 0.2637
Epoch 37/1000 - Train Loss: 0.3345, Val Loss: 0.2776, Test Loss: 0.2637
Epoch 38/1000 - Train Loss: 0.3342, Val Loss: 0.2782, Test Loss: 0.2636
Epoch 39/1000 - Train Loss: 0.3345, Val Loss: 0.2800, Test Loss: 0.2637
Epoch 40/1000 - Train Loss: 0.3339, Val Loss: 0.2797, Test Loss: 0.2636
Epoch 41/1000 - Train Loss: 0.3348, Val Loss: 0.2792, Test Loss: 0.2636
Epoch 42/1000 - Train Loss: 0.3347, Val Loss: 0.2819, Test Loss: 0.2637
Epoch 43/1000 - Train Loss: 0.3340, Val Loss: 0.2804, Test Loss: 0.2636
Epoch 44/1000 - Train Loss: 0.3348, Val Loss: 0.2811, Test Loss: 0.2637
Epoch 45/1000 - Train Loss: 0.3342, Val Loss: 0.2787, Test Loss: 0.2636
Epoch 46/1000 - Train Loss: 0.3341, Val Loss: 0.2789, Test Loss: 0.2636
Epoch 47/1000 - Train Loss: 0.3347, Val Loss: 0.2789, Test Loss: 0.2636
Epoch 48/1000 - Train Loss: 0.3342, Val Loss: 0.2780, Test Loss: 0.2636
Epoch 49/1000 - Train Loss: 0.3345, Val Loss: 0.2785, Test Loss: 0.2636
Epoch 50/1000 - Train Loss: 0.3342, Val Loss: 0.2801, Test Loss: 0.2636
Epoch 51/1000 - Train Loss: 0.3343, Val Loss: 0.2790, Test Loss: 0.2636
Epoch 52/1000 - Train Loss: 0.3338, Val Loss: 0.2793, Test Loss: 0.2636
Epoch 53/1000 - Train Loss: 0.3341, Val Loss: 0.2796, Test Loss: 0.2636
Epoch 54/1000 - Train Loss: 0.3341, Val Loss: 0.2813, Test Loss: 0.2636
Epoch 55/1000 - Train Loss: 0.3335, Val Loss: 0.2796, Test Loss: 0.2636
Epoch 56/1000 - Train Loss: 0.3345, Val Loss: 0.2803, Test Loss: 0.2636
Epoch 57/1000 - Train Loss: 0.3340, Val Loss: 0.2789, Test Loss: 0.2635
Epoch 58/1000 - Train Loss: 0.3338, Val Loss: 0.2783, Test Loss: 0.2636
Epoch 59/1000 - Train Loss: 0.3341, Val Loss: 0.2778, Test Loss: 0.2636
Epoch 60/1000 - Train Loss: 0.3341, Val Loss: 0.2785, Test Loss: 0.2635
Epoch 61/1000 - Train Loss: 0.3335, Val Loss: 0.2788, Test Loss: 0.2635
Epoch 62/1000 - Train Loss: 0.3340, Val Loss: 0.2766, Test Loss: 0.2637
Epoch 63/1000 - Train Loss: 0.3341, Val Loss: 0.2782, Test Loss: 0.2636
Epoch 64/1000 - Train Loss: 0.3339, Val Loss: 0.2799, Test Loss: 0.2636
Epoch 65/1000 - Train Loss: 0.3345, Val Loss: 0.2793, Test Loss: 0.2635
