H3K36me3_AM_immune median 100 2 8 2
cpu
Epoch 1/1000 - Train Loss: 8.2324, Val Loss: 6.6239, Test Loss: 6.6108
Epoch 2/1000 - Train Loss: 5.7653, Val Loss: 4.7771, Test Loss: 4.7613
Epoch 3/1000 - Train Loss: 4.0510, Val Loss: 3.1405, Test Loss: 3.1243
Epoch 4/1000 - Train Loss: 2.4572, Val Loss: 1.5904, Test Loss: 1.5791
Epoch 5/1000 - Train Loss: 1.1066, Val Loss: 0.5514, Test Loss: 0.6196
Epoch 6/1000 - Train Loss: 0.5393, Val Loss: 0.3149, Test Loss: 0.3520
Epoch 7/1000 - Train Loss: 0.3836, Val Loss: 0.2664, Test Loss: 0.2793
Epoch 8/1000 - Train Loss: 0.3409, Val Loss: 0.2699, Test Loss: 0.2656
Epoch 9/1000 - Train Loss: 0.3344, Val Loss: 0.2736, Test Loss: 0.2642
Epoch 10/1000 - Train Loss: 0.3342, Val Loss: 0.2777, Test Loss: 0.2636
Epoch 11/1000 - Train Loss: 0.3355, Val Loss: 0.2813, Test Loss: 0.2636
Epoch 12/1000 - Train Loss: 0.3349, Val Loss: 0.2797, Test Loss: 0.2635
Epoch 13/1000 - Train Loss: 0.3348, Val Loss: 0.2829, Test Loss: 0.2637
Epoch 14/1000 - Train Loss: 0.3344, Val Loss: 0.2786, Test Loss: 0.2635
Epoch 15/1000 - Train Loss: 0.3340, Val Loss: 0.2808, Test Loss: 0.2636
Epoch 16/1000 - Train Loss: 0.3335, Val Loss: 0.2761, Test Loss: 0.2638
Epoch 17/1000 - Train Loss: 0.3344, Val Loss: 0.2775, Test Loss: 0.2636
Epoch 18/1000 - Train Loss: 0.3347, Val Loss: 0.2791, Test Loss: 0.2635
Epoch 19/1000 - Train Loss: 0.3368, Val Loss: 0.2814, Test Loss: 0.2636
Epoch 20/1000 - Train Loss: 0.3382, Val Loss: 0.2801, Test Loss: 0.2636
Epoch 21/1000 - Train Loss: 0.3346, Val Loss: 0.2771, Test Loss: 0.2636
Epoch 22/1000 - Train Loss: 0.3355, Val Loss: 0.2756, Test Loss: 0.2638
Epoch 23/1000 - Train Loss: 0.3350, Val Loss: 0.2771, Test Loss: 0.2636
Epoch 24/1000 - Train Loss: 0.3354, Val Loss: 0.2776, Test Loss: 0.2636
Epoch 25/1000 - Train Loss: 0.3344, Val Loss: 0.2779, Test Loss: 0.2636
Epoch 26/1000 - Train Loss: 0.3346, Val Loss: 0.2795, Test Loss: 0.2635
Epoch 27/1000 - Train Loss: 0.3372, Val Loss: 0.2835, Test Loss: 0.2638
Epoch 28/1000 - Train Loss: 0.3342, Val Loss: 0.2794, Test Loss: 0.2635
Epoch 29/1000 - Train Loss: 0.3350, Val Loss: 0.2711, Test Loss: 0.2650
Epoch 30/1000 - Train Loss: 0.3355, Val Loss: 0.2766, Test Loss: 0.2637
Epoch 31/1000 - Train Loss: 0.3355, Val Loss: 0.2734, Test Loss: 0.2643
Epoch 32/1000 - Train Loss: 0.3347, Val Loss: 0.2767, Test Loss: 0.2637
Epoch 33/1000 - Train Loss: 0.3353, Val Loss: 0.2764, Test Loss: 0.2637
Epoch 34/1000 - Train Loss: 0.3346, Val Loss: 0.2824, Test Loss: 0.2637
Epoch 35/1000 - Train Loss: 0.3348, Val Loss: 0.2760, Test Loss: 0.2638
Epoch 36/1000 - Train Loss: 0.3364, Val Loss: 0.2728, Test Loss: 0.2644
Epoch 37/1000 - Train Loss: 0.3333, Val Loss: 0.2806, Test Loss: 0.2636
Epoch 38/1000 - Train Loss: 0.3348, Val Loss: 0.2785, Test Loss: 0.2635
Epoch 39/1000 - Train Loss: 0.3351, Val Loss: 0.2814, Test Loss: 0.2636
Epoch 40/1000 - Train Loss: 0.3341, Val Loss: 0.2808, Test Loss: 0.2636
Epoch 41/1000 - Train Loss: 0.3351, Val Loss: 0.2815, Test Loss: 0.2636
Epoch 42/1000 - Train Loss: 0.3354, Val Loss: 0.2864, Test Loss: 0.2643
Epoch 43/1000 - Train Loss: 0.3345, Val Loss: 0.2819, Test Loss: 0.2636
Epoch 44/1000 - Train Loss: 0.3352, Val Loss: 0.2798, Test Loss: 0.2635
Epoch 45/1000 - Train Loss: 0.3348, Val Loss: 0.2788, Test Loss: 0.2635
Epoch 46/1000 - Train Loss: 0.3347, Val Loss: 0.2791, Test Loss: 0.2635
Epoch 47/1000 - Train Loss: 0.3354, Val Loss: 0.2808, Test Loss: 0.2636
Epoch 48/1000 - Train Loss: 0.3349, Val Loss: 0.2775, Test Loss: 0.2636
Epoch 49/1000 - Train Loss: 0.3350, Val Loss: 0.2801, Test Loss: 0.2636
Epoch 50/1000 - Train Loss: 0.3349, Val Loss: 0.2829, Test Loss: 0.2637
Epoch 51/1000 - Train Loss: 0.3352, Val Loss: 0.2808, Test Loss: 0.2636
Epoch 52/1000 - Train Loss: 0.3339, Val Loss: 0.2790, Test Loss: 0.2635
Epoch 53/1000 - Train Loss: 0.3346, Val Loss: 0.2786, Test Loss: 0.2635
Epoch 54/1000 - Train Loss: 0.3348, Val Loss: 0.2833, Test Loss: 0.2638
Epoch 55/1000 - Train Loss: 0.3339, Val Loss: 0.2790, Test Loss: 0.2635
Epoch 56/1000 - Train Loss: 0.3351, Val Loss: 0.2781, Test Loss: 0.2636
Epoch 57/1000 - Train Loss: 0.3348, Val Loss: 0.2773, Test Loss: 0.2636
Epoch 58/1000 - Train Loss: 0.3346, Val Loss: 0.2779, Test Loss: 0.2636
