H3K27me3_RL_cancer mean 2000 2 16 1
cpu
Epoch 1/1000 - Train Loss: 14.5000, Val Loss: 14.8138, Test Loss: 13.3922
Epoch 2/1000 - Train Loss: 12.1840, Val Loss: 12.6955, Test Loss: 11.3224
Epoch 3/1000 - Train Loss: 10.5180, Val Loss: 11.2994, Test Loss: 9.9318
Epoch 4/1000 - Train Loss: 9.2326, Val Loss: 10.0813, Test Loss: 8.7146
Epoch 5/1000 - Train Loss: 8.0500, Val Loss: 8.9261, Test Loss: 7.5597
Epoch 6/1000 - Train Loss: 6.9131, Val Loss: 7.8045, Test Loss: 6.4382
Epoch 7/1000 - Train Loss: 5.8028, Val Loss: 6.7040, Test Loss: 5.3378
Epoch 8/1000 - Train Loss: 4.7099, Val Loss: 5.6180, Test Loss: 4.2519
Epoch 9/1000 - Train Loss: 3.6365, Val Loss: 4.5569, Test Loss: 3.1960
Epoch 10/1000 - Train Loss: 2.7034, Val Loss: 3.6381, Test Loss: 2.3482
Epoch 11/1000 - Train Loss: 2.0801, Val Loss: 2.9009, Test Loss: 1.7834
Epoch 12/1000 - Train Loss: 1.7047, Val Loss: 2.4718, Test Loss: 1.4763
Epoch 13/1000 - Train Loss: 1.4846, Val Loss: 2.1855, Test Loss: 1.2693
Epoch 14/1000 - Train Loss: 1.3535, Val Loss: 2.0533, Test Loss: 1.1979
Epoch 15/1000 - Train Loss: 1.3064, Val Loss: 1.9321, Test Loss: 1.1519
Epoch 16/1000 - Train Loss: 1.2671, Val Loss: 1.8843, Test Loss: 1.1402
Epoch 17/1000 - Train Loss: 1.2572, Val Loss: 1.8630, Test Loss: 1.1365
Epoch 18/1000 - Train Loss: 1.2548, Val Loss: 1.8393, Test Loss: 1.1329
Epoch 19/1000 - Train Loss: 1.2558, Val Loss: 1.8111, Test Loss: 1.1303
Epoch 20/1000 - Train Loss: 1.2557, Val Loss: 1.8153, Test Loss: 1.1304
Epoch 21/1000 - Train Loss: 1.2558, Val Loss: 1.8269, Test Loss: 1.1313
Epoch 22/1000 - Train Loss: 1.2522, Val Loss: 1.7982, Test Loss: 1.1299
Epoch 23/1000 - Train Loss: 1.2525, Val Loss: 1.8010, Test Loss: 1.1299
Epoch 24/1000 - Train Loss: 1.2506, Val Loss: 1.8020, Test Loss: 1.1300
Epoch 25/1000 - Train Loss: 1.2496, Val Loss: 1.8144, Test Loss: 1.1304
Epoch 26/1000 - Train Loss: 1.2472, Val Loss: 1.8135, Test Loss: 1.1304
Epoch 27/1000 - Train Loss: 1.2496, Val Loss: 1.8060, Test Loss: 1.1301
Epoch 28/1000 - Train Loss: 1.2495, Val Loss: 1.8151, Test Loss: 1.1304
Epoch 29/1000 - Train Loss: 1.2484, Val Loss: 1.8209, Test Loss: 1.1308
Epoch 30/1000 - Train Loss: 1.2542, Val Loss: 1.8099, Test Loss: 1.1302
Epoch 31/1000 - Train Loss: 1.2520, Val Loss: 1.8089, Test Loss: 1.1302
Epoch 32/1000 - Train Loss: 1.2522, Val Loss: 1.8048, Test Loss: 1.1301
Epoch 33/1000 - Train Loss: 1.2527, Val Loss: 1.8243, Test Loss: 1.1310
Epoch 34/1000 - Train Loss: 1.2534, Val Loss: 1.8221, Test Loss: 1.1309
Epoch 35/1000 - Train Loss: 1.2494, Val Loss: 1.8104, Test Loss: 1.1302
Epoch 36/1000 - Train Loss: 1.2548, Val Loss: 1.7924, Test Loss: 1.1300
Epoch 37/1000 - Train Loss: 1.2507, Val Loss: 1.8120, Test Loss: 1.1303
Epoch 38/1000 - Train Loss: 1.2517, Val Loss: 1.8073, Test Loss: 1.1301
Epoch 39/1000 - Train Loss: 1.2499, Val Loss: 1.8047, Test Loss: 1.1300
Epoch 40/1000 - Train Loss: 1.2496, Val Loss: 1.8000, Test Loss: 1.1299
Epoch 41/1000 - Train Loss: 1.2507, Val Loss: 1.8090, Test Loss: 1.1302
Epoch 42/1000 - Train Loss: 1.2556, Val Loss: 1.8115, Test Loss: 1.1303
Epoch 43/1000 - Train Loss: 1.2507, Val Loss: 1.8078, Test Loss: 1.1301
Epoch 44/1000 - Train Loss: 1.2518, Val Loss: 1.7901, Test Loss: 1.1300
Epoch 45/1000 - Train Loss: 1.2500, Val Loss: 1.8056, Test Loss: 1.1301
Epoch 46/1000 - Train Loss: 1.2520, Val Loss: 1.8073, Test Loss: 1.1301
Epoch 47/1000 - Train Loss: 1.2491, Val Loss: 1.7964, Test Loss: 1.1299
Epoch 48/1000 - Train Loss: 1.2497, Val Loss: 1.8132, Test Loss: 1.1303
Epoch 49/1000 - Train Loss: 1.2490, Val Loss: 1.8019, Test Loss: 1.1299
Epoch 50/1000 - Train Loss: 1.2502, Val Loss: 1.8184, Test Loss: 1.1306
Epoch 51/1000 - Train Loss: 1.2512, Val Loss: 1.8078, Test Loss: 1.1301
Epoch 52/1000 - Train Loss: 1.2508, Val Loss: 1.8057, Test Loss: 1.1301
Epoch 53/1000 - Train Loss: 1.2501, Val Loss: 1.7973, Test Loss: 1.1299
Epoch 54/1000 - Train Loss: 1.2498, Val Loss: 1.8215, Test Loss: 1.1308
Epoch 55/1000 - Train Loss: 1.2507, Val Loss: 1.8142, Test Loss: 1.1304
Epoch 56/1000 - Train Loss: 1.2517, Val Loss: 1.8017, Test Loss: 1.1299
