dataset,loss_type,compress_type,compress_size,input_size,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
ATAC_JV_adipose,square,mean,100,1,1,16,1,5,2.158093471125317,1.4089212397660595,2.3116598535312094,28626.1903424263
ATAC_JV_adipose,square,mean,100,1,1,16,2,206,2.473388065533779,1.6545595699201592,1.9826020800500987,107538.94684958458
ATAC_JV_adipose,square,mean,100,1,1,2,1,25,2.159681534215178,1.3917324842233212,2.3138790763722263,39031.68798995018
ATAC_JV_adipose,square,mean,100,1,1,2,2,323,2.469886414359644,1.6673058507572436,1.9984598874479556,158885.71620845795
ATAC_JV_adipose,square,mean,100,1,1,4,1,15,2.1732120921912,1.388686602624366,2.321174919396677,34057.37406015396
ATAC_JV_adipose,square,mean,100,1,1,4,2,949,2.39336169128246,1.6293071721712211,1.9496897326148688,414882.3203909397
ATAC_JV_adipose,square,mean,100,1,1,8,1,9,2.17890490757641,1.389279983076267,2.3153754424848105,30295.49855875969
ATAC_JV_adipose,square,mean,100,1,1,8,2,288,2.415083816801156,1.6477934374600989,1.9380671660557147,142376.40120387077
ATAC_JV_adipose,square,mean,100,1,2,16,1,107,1.8668813627044825,1.237581900546793,2.5553552801506174,160435.3428709507
ATAC_JV_adipose,square,mean,100,1,2,16,2,98,2.4808587943157647,1.6781856850720942,1.9768668916143857,127438.62615418434
ATAC_JV_adipose,square,mean,100,1,2,2,1,27,2.1715238000665984,1.3907321562306607,2.318103426323856,73573.51114010811
ATAC_JV_adipose,square,mean,100,1,2,2,2,76,2.4305788321996182,1.673490522683344,2.0042426370171125,109289.5726299286
ATAC_JV_adipose,square,mean,100,1,2,4,1,15,2.167611152736958,1.3908542221877724,2.3145484797118048,68866.1966984272
ATAC_JV_adipose,square,mean,100,1,2,4,2,96,2.298996309251025,1.6388306475075132,1.9782761846188923,127404.05069994926
ATAC_JV_adipose,square,mean,100,1,2,8,1,85,1.8209578043802603,1.326920206504874,2.547348021295721,136373.29921102524
ATAC_JV_adipose,square,mean,100,1,2,8,2,125,2.1812887580274505,1.512782790952108,1.898035850247186,150389.472645998
ATAC_JV_adipose,square,mean,1000,1,1,16,1,35,2.123712036431095,1.404627416362055,2.309029468438487,5755.116218090057
