sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,count,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr10:60000-17974675,0,0,1,4,210,2.958510886,4.772187465,17914675,690233,0,0,0.693147181,1.609437912,5.351858133,1.375867916,1.753051119,16.70113082,13.44478595,0,0,0,1.386294361,5.347107531,1.084686063,1.562804788,16.70113077,13.4447845,0,0,0,0.32663426,1.676555766,0.081290602,0.446482148,2.815476428,2.598591261
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr11:96437584-134946516,0,0,2,4,227,3.193664239,4.98697679,38508932,1574845,0,0,1.098612289,1.609437912,5.429345629,1.433574872,1.789586575,17.4664008,14.26966805,0,0,0.693147181,1.386294361,5.424950017,1.161168922,1.606829872,17.46640077,14.26966741,0,0,-0.366512921,0.32663426,1.691008686,0.149427189,0.474263215,2.86027908,2.658136124
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr12:38150000-66400000,0,0,2,5,207,3.560024779,5.444969059,28250000,1272035,0,0,1.098612289,1.791759469,5.33753808,1.517328057,1.863299836,17.15660405,14.05612932,0,0,0.693147181,1.609437912,5.332718793,1.269767505,1.694692074,17.15660402,14.05612854,0,0,-0.366512921,0.475884995,1.673861201,0.238833817,0.527501057,2.842383173,2.643058496
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr18:18521000-52059136,0,0,2,5,166,3.360400709,4.499558426,33538136,1436119,0,0,1.098612289,1.791759469,5.117993812,1.472563959,1.704667803,17.32819377,14.17745559,0,0,0.693147181,1.609437912,5.111987788,1.212060226,1.503979264,17.32819374,14.17745489,0,0,-0.366512921,0.475884995,1.631588328,0.192321577,0.408114438,2.852334871,2.651653019
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr1:17175658-29878082,0,0,0,2,173,1.802494784,4.297157043,12702424,315428,0,0,0,1.098612289,5.159055299,1.030510015,1.66717027,16.35730348,12.6616889,0,0,0,0.693147181,5.153291594,0.589171696,1.457953651,16.3573034,12.66168573,0,0,0,-0.366512921,1.639635655,-0.529037633,0.377033844,2.794674489,2.538580562
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr1:30028082-91800000,0,0,2,4,351,3.208156545,5.243898171,61771918,2524883,0,0,1.098612289,1.609437912,5.863631176,1.437024676,1.831604694,17.93895943,14.74170568,0,0,0.693147181,1.386294361,5.860786223,1.165696487,1.657065147,17.93895942,14.74170528,0,0,-0.366512921,0.32663426,1.768283762,0.153318751,0.505048054,2.886974851,2.690680571
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr2:21178113-33000000,0,0,1,4,157,2.766141226,4.663832063,11821887,424063,0,0,0.693147181,1.609437912,5.062595033,1.32605093,1.734100706,16.28546329,12.95763967,0,0,0,1.386294361,5.056245805,1.01745329,1.539837441,16.2854632,12.95763731,0,0,0,0.32663426,1.620624272,0.01730273,0.431676853,2.790272882,2.561685368
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr2:33200000-87000000,0,0,2,5,268,3.514891543,5.310128394,53800000,2390152,0,0,1.098612289,1.791759469,5.59471138,1.507381165,1.842156024,17.80078404,14.68686794,0,0,0.693147181,1.609437912,5.590986981,1.257008669,1.669616015,17.80078403,14.68686752,0,0,-0.366512921,0.475884995,1.721155833,0.228734826,0.512593669,2.879242503,2.686953729
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr2:5118788-16279724,0,0,1,4,123,2.862397562,4.179372394,11160936,415911,0,0,0.693147181,1.609437912,4.820281566,1.351288121,1.644683889,16.22793047,12.93822898,0,0,0,1.386294361,4.812184355,1.051659582,1.43016109,16.22793038,12.93822657,0,0,0,0.32663426,1.571151109,0.050369471,0.357787088,2.786733855,2.56018623
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr2:95326171-109668000,0,0,2,4,234,3.402734895,5.393172944,14341829,622901,0,0,1.098612289,1.609437912,5.459585514,1.482225915,1.855230694,16.478691,13.34214448,0,0,0.693147181,1.386294361,5.455321115,1.224579489,1.685133884,16.47869093,13.34214288,0,0,-0.366512921,0.32663426,1.696591484,0.202597511,0.521845017,2.802068087,2.590927663
