sequenceID,sum_diff,mean_diff,max_diff,min_diff,std_deviation,mean,median,variance,min_value,max_value,range_value,iqr,abs_skewness,kurtosis,count,unique_count,percentile_25,percentile_50,percentile_75,autocorr,sqrt_sum_diff,square_sum_diff,log_sum_diff,loglog_sum_diff,sqrt_mean_diff,square_mean_diff,log_mean_diff,loglog_mean_diff,sqrt_max_diff,square_max_diff,log_max_diff,loglog_max_diff,sqrt_min_diff,square_min_diff,log_min_diff,loglog_min_diff,sqrt_std_deviation,square_std_deviation,log_std_deviation,loglog_std_deviation,sqrt_mean,square_mean,log_mean,loglog_mean,sqrt_median,square_median,log_median,loglog_median,sqrt_variance,square_variance,log_variance,loglog_variance,sqrt_min_value,square_min_value,log_min_value,loglog_min_value,sqrt_max_value,square_max_value,log_max_value,loglog_max_value,sqrt_range_value,square_range_value,log_range_value,loglog_range_value,sqrt_iqr,square_iqr,log_iqr,loglog_iqr,sqrt_abs_skewness,square_abs_skewness,log_abs_skewness,loglog_abs_skewness,sqrt_kurtosis,square_kurtosis,log_kurtosis,loglog_kurtosis,sqrt_count,square_count,log_count,loglog_count,sqrt_unique_count,square_unique_count,log_unique_count,loglog_unique_count,sqrt_percentile_25,square_percentile_25,log_percentile_25,loglog_percentile_25,sqrt_percentile_50,square_percentile_50,log_percentile_50,loglog_percentile_50,sqrt_percentile_75,square_percentile_75,log_percentile_75,loglog_percentile_75,sqrt_autocorr,square_autocorr,log_autocorr,loglog_autocorr
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,2182138,1.317353434,117,1,49.58509035,20.551014,7,2458.681185,0,871,871,8,6.045983791,49.92495677,1656457,843,4,7,12,0.999361419,1477.2061467513597,4761726251044,14.595815688104896,2.680734890932462,1.1477601813967933,1.7354200700715925,0.2756247497043392,-1.2887149408836096,10.816653826391969,13689,4.762173934797756,1.5607042729746456,1.0,1,0.0,0.0,7.041668151084656,2458.681185017663,3.903690190760056,1.3619223085269363,4.533322622536367,422.344176428196,3.022910282790608,1.1062200371533444,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,49.58509034982189,6045113.169473004,7.807380381512925,2.055069489085961,0.0,0,-23.025850929940457,0.0,29.512709126747414,758641,6.769641976852503,1.9124482017521545,29.512709126747414,758641,6.769641976852503,1.9124482017521545,2.8284271247461903,64,2.079441541679836,0.7320993680864453,2.4588582291380687,36.55392000103473,1.7993942154075926,0.5874500612616875,7.065759461657325,2492.501308486369,3.910521013402656,1.3636706166297112,1287.0341875801123,2743849792849,14.320191542039254,2.661670537283774,29.03446228191595,710649,6.736966958001855,1.9076098174098464,2.0,16,1.3862943611198906,0.3266342599782809,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,3.4641016151377544,144,2.4849066497880004,0.910235093365326,0.9996806585105066,0.9987232457856936,-0.0006387849796897,0.0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,2217322,1.340291521,177,1,57.82427165,23.4260762,8,3343.646392,0,1342,1342,9,7.074759117,74.50159287,1654359,1068,5,8,14,0.999491671,1489.0674934333904,4916516851684,14.611810719369045,2.6818301550693,1.1577096013249608,1.7963813612644932,0.2928871432866756,-1.2279679206605778,13.30413469565007,31329,5.176149732573829,1.6440614850208792,1.0,1,0.0,0.0,7.604227222407284,3343.646391852994,4.057408612275097,1.4005444969921697,4.840049193964871,548.7810461282065,3.153849769438432,1.1486238556494217,2.8284271247461903,64,2.079441541679836,0.7320993680864453,57.82427165127115,11179971.194734618,8.11481722459416,2.093691677557533,0.0,0,-23.025850929940457,0.0,36.6333181680284,1800964,7.201916317531627,1.9743471458217208,36.6333181680284,1800964,7.201916317531627,1.9743471458217208,3.0,81,2.19722457733622,0.7871950081766445,2.659841934589347,50.05221656357463,1.956533395882549,0.671174231718947,8.631430522804433,5550.487340167234,4.310820505962317,1.4611282586101566,1286.2188771744875,2736903700881,14.318924180590706,2.6615820316565992,32.68026927673638,1140624,6.97354301952014,1.942123419797389,2.23606797749979,25,1.6094379124341005,0.4758849953271105,2.8284271247461903,64,2.079441541679836,0.7320993680864453,3.741657386773941,196,2.6390573296152584,0.9704217812773648,0.9997458031919916,0.9989836003983724,-0.0005084582429865,0.0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876,1151921,1.419015121,156,1,64.77409786,30.39898322,10,4195.683753,0,1218,1218,14,5.101530714,37.19318166,811776,878,6,10,20,0.999486207,1073.2758266168114,1326921990241,13.956941541497615,2.63597698604583,1.191224211053486,2.0136039136266444,0.3499630542169719,-1.0499276894505414,12.489995996796797,24336,5.049856007249537,1.61935972946482,1.0,1,0.0,0.0,8.048235698586367,4195.683753576856,4.1709057990644265,1.4281332302233574,5.513527293847379,924.0981808098416,3.414409161142296,1.228004465211639,3.1622776601683795,100,2.302585092994046,0.834032445247956,64.77409785554717,17603762.155188166,8.341811597991365,2.121280410766821,0.0,0,-23.025850929940457,0.0,34.899856733230294,1483524,7.1049654482698426,1.960793898521032,34.899856733230294,1483524,7.1049654482698426,1.960793898521032,3.741657386773941,196,2.6390573296152584,0.9704217812773648,2.25865683847724,26.025615625885347,1.629540634697281,0.4882981558960544,6.098621291734715,1383.3327619937604,3.6161254557699953,1.2854031365547434,900.9861264192696,658980274176,13.60697971901791,2.610582875726087,29.631064780058107,770884,6.777646593635117,1.9136299316123389,2.449489742783178,36,1.791759469228055,0.5831980807826592,3.1622776601683795,100,2.302585092994046,0.834032445247956,4.47213595499958,400,2.995732273553991,1.0971887003649488,0.9997430704936144,0.9989726779832468,-0.0005139250368517,0.0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr14:19050000-107289540,9541155,1.316942331,303,1,52.73932009,20.83255769,7,2781.435884,0,1140,1140,9,7.056085525,70.36633289,7244931,1101,4,7,13,0.999411615,3088.8760091657937,91033638734025,16.071125105278576,2.777024190072666,1.1475810781814066,1.7343371031797132,0.2753126336475172,-1.2898479774124203,17.406895185529212,91809,5.713732805509369,1.742872541341305,1.0,1,0.0,0.0,7.262184250623224,2781.4358835554776,3.965361289109012,1.3775969705091964,4.564269677615467,433.9954599071782,3.03651703650116,1.1107111469115172,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,52.739320094214335,7736385.576802861,7.930722578377841,2.070744151089293,0.0,0,-23.025850929940457,0.0,33.76388603226827,1299600,7.038783541388542,1.9514353628232213,33.76388603226827,1299600,7.038783541388542,1.9514353628232213,3.0,81,2.19722457733622,0.7871950081766445,2.656329332932948,49.78834293611453,1.953890439521056,0.6698224822026898,8.388464274824088,4951.420804386296,4.253714922783158,1.447792700612239,2691.640949309547,52489025194761,15.795812609882043,2.7597448802166618,33.18132004607411,1212201,7.00397413672268,1.946477721772967,2.0,16,1.3862943611198906,0.3266342599782809,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,3.605551275463989,169,2.5649493574615367,0.9419387347481112,0.9997057642126508,0.9988235761969082,-0.0005885581663831,0.0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr16:46510000-88389383,5380804,1.347376676,167,1,56.01010267,23.76598143,8,3137.131601,0,1102,1102,10,6.150728354,52.54474115,3993542,1041,5,8,15,0.999458711,2319.656008980642,28953051686416,15.498348363351749,2.740733461044466,1.1607655560017278,1.8154239070288087,0.2981594990190581,-1.2101267040545023,12.922847983320086,27889,5.117993812416755,1.6327625287522542,1.0,1,0.0,0.0,7.483989756139435,3137.131601103941,4.025532079285585,1.3926570957450468,4.875036556786011,564.8218733311048,3.168255206499188,1.1531810283146564,2.8284271247461903,64,2.079441541679836,0.7320993680864453,56.010102669072126,9841594.681992823,8.051064158538038,2.085804276300877,0.0,0,-23.025850929940457,0.0,33.19638534539566,1214404,7.004881989712859,1.9466073330678872,33.19638534539566,1214404,7.004881989712859,1.9466073330678872,3.1622776601683795,100,2.302585092994046,0.834032445247956,2.480066199519682,37.83145928469955,1.8165705063506803,0.596950386322051,7.248775148257808,2760.9498225205034,3.9616650190517375,1.3766643962546228,1998.38484782086,15948377705764,15.200189114374547,2.721307869510001,32.26453160980336,1083681,6.947937068614969,1.9384447908558256,2.23606797749979,25,1.6094379124341005,0.4758849953271105,2.8284271247461903,64,2.079441541679836,0.7320993680864453,3.872983346207417,225,2.70805020110221,0.9962288929513948,0.9997293188658618,0.9989177149937816,-0.0005414355497769,0.0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr1:206482221-223747846,1922040,1.325192966,113,1,49.70551421,21.24036429,7,2470.638143,0,1130,1130,9,6.344386588,61.61546559,1450386,942,4,7,13,0.999361207,1386.376572219828,3694237761600,14.46889767995034,2.67200135805604,1.1511702593448112,1.756136397135877,0.2815580835514607,-1.2674165168023053,10.63014581273465,12769,4.727387818712341,1.553372791752763,1.0,1,0.0,0.0,7.050213770517884,2470.638142880512,3.9061158768474944,1.3625434983860554,4.608726970650355,451.1530751719072,3.0559033473566024,1.1170752436302378,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,49.70551421120196,6104052.833646489,7.812231753743353,2.055690678952192,0.0,0,-23.025850929940457,0.0,33.61547262794322,1276900,7.029972911706386,1.9501828525728149,33.61547262794322,1276900,7.029972911706386,1.9501828525728149,3.0,81,2.19722457733622,0.7871950081766445,2.518806580108921,40.25124117799428,1.8475704200547427,0.6138714895169165,7.849551935620274,3796.465599872474,4.120912903800716,1.4160747174089312,1204.3197249900045,2103619548996,14.18734028586654,2.6523500377944003,30.692018506445613,887364,6.848005274576363,1.9239574090751788,2.0,16,1.3862943611198906,0.3266342599782809,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,3.605551275463989,169,2.5649493574615367,0.9419387347481112,0.99968055247664,0.9987228220564968,-0.0006389971151779,0.0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr3:60000-66170270,7525805,1.310930862,191,1,48.68870149,20.13532478,7,2370.589653,0,1252,1252,9,6.424322459,58.94750772,5740811,1074,4,7,13,0.99935841,2743.320068821719,56637740898025,15.833848339621795,2.762149948556459,1.144958890965086,1.718539724944063,0.2707374665488213,-1.3066056857742945,13.820274961085254,36481,5.25227342804663,1.6586610167850495,1.0,1,0.0,0.0,6.977728963638527,2370.5896527823284,3.88544700091313,1.3572380353510274,4.487240218664475,405.4313039960821,3.002475724295007,1.0994371897752888,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,48.68870149223534,5619695.30291066,7.770894001918082,2.050385215922789,0.0,0,-23.025850929940457,0.0,35.38361202590826,1567504,7.132497551660044,1.9646614608401305,35.38361202590826,1567504,7.132497551660044,1.9646614608401305,3.0,81,2.19722457733622,0.7871950081766445,2.534624717586412,41.27191905721181,1.860091171368495,0.6206255033886049,7.677728031130043,3474.808666399459,4.07664734822705,1.4052749222365175,2395.998956594097,32956910937721,15.563111047513976,2.7449034375513954,32.77193921634788,1153476,6.97914527506881,1.9429264558477104,2.0,16,1.3862943611198906,0.3266342599782809,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,3.605551275463989,169,2.5649493574615367,0.9419387347481112,0.999679153528771,0.9987172316377282,-0.0006417959069406,0.0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr4:75452279-190000000,9761953,1.254640083,622,1,37.77452465,15.08262464,6,1426.914713,0,829,829,6,7.095546635,68.43459607,7780681,791,4,6,10,0.999094062,3124.4124247608543,95295726374209,16.094003040830465,2.778446720665794,1.120107174782842,1.5741217378702468,0.2268487449984647,-1.4834718051842948,24.939927826679853,386884,6.432940092739179,1.8614316798935355,1.0,1,0.0,0.0,6.14609832739438,1426.9147125334573,3.631634924360237,1.2896829392662932,3.8836354926795074,227.4855660311352,2.7135433951806167,0.9982553067209264,2.449489742783178,36,1.791759469228055,0.5831980807826592,37.77452465617536,2036085.598175872,7.263269849047432,1.982830119871254,0.0,0,-23.025850929940457,0.0,28.792360097775937,687241,6.720220155135295,1.9051209151792696,28.792360097775937,687241,6.720220155135295,1.9051209151792696,2.449489742783178,36,1.791759469228055,0.5831980807826592,2.663746728763829,50.34678204945982,1.959467352746369,0.672672677506438,8.272520539110193,4683.293939264059,4.225878487256682,1.44122716517344,2789.3872086893925,60538996823761,15.867154424457537,2.7642512131340085,28.124722220850465,625681,6.673297967767654,1.898114185669605,2.0,16,1.3862943611198906,0.3266342599782809,2.449489742783178,36,1.791759469228055,0.5831980807826592,3.1622776601683795,100,2.302585092994046,0.834032445247956,0.9995469283630458,0.9981889447236596,-0.00090634860984,0.0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chrX:37148256-49242997,1241760,1.259042882,143,1,36.20267278,15.83472646,7,1310.633516,0,666,666,7,6.754591854,62.36282296,986274,599,4,7,11,0.999059687,1114.3428556777308,1541967897600,14.032040286087966,2.641343306641097,1.122070800796456,1.5851889787148656,0.2303518148475383,-1.46814750897903,11.958260743101398,20449,4.962844630259907,1.6019790905057438,1.0,1,0.0,0.0,6.016865694030406,1310.6335164157529,3.589132949807809,1.2779106551705954,3.9792871798853615,250.7385620630241,2.76220540544923,1.0160294205959977,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,36.202672774257984,1717760.2132625226,7.178265899298403,1.9710578356863493,0.0,0,-23.025850929940457,0.0,25.80697580112788,443556,6.501289670540389,1.872000568073129,25.80697580112788,443556,6.501289670540389,1.872000568073129,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,2.598959763828597,45.62451111412316,1.9102225482691784,0.6472197526893293,7.897013546904931,3889.121687540304,4.132969311927004,1.4189961103694384,993.1132865891988,972736403076,13.8016894854469,2.6247910111513084,24.47447650104084,358801,6.395261598115449,1.8555573408580213,2.0,16,1.3862943611198906,0.3266342599782809,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,3.3166247903554,121,2.3978952727983707,0.874591382923689,0.9995297329244388,0.998120258188538,-0.0009407553716025,0.0
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr10:18024675-38818835,1327626,1.351920002,203,1,43.33555444,17.91351393,4,1877.970278,0,671,671,8,5.250515038,37.88626196,982031,649,2,4,10,0.999103416,1152.2265402254889,1762590795876,14.0989029428483,2.6460969888853683,1.1627209476052285,1.82768769180768,0.3015258057518086,-1.198899675261004,14.247806848775006,41209,5.313205979041787,1.6701954155939902,1.0,1,0.0,0.0,6.582974589044075,1877.970278622204,3.7689734167816056,1.3268026611377068,4.232435933360362,320.8939813203041,2.885555396158032,1.059717393098632,2.0,16,1.3862943611198906,0.3266342599782809,43.33555443282109,3526772.365051397,7.537946833231894,2.0199498416536987,0.0,0,-23.025850929940457,0.0,25.90366769397724,450241,6.508769136971682,1.8731503656821888,25.90366769397724,450241,6.508769136971682,1.8731503656821888,2.8284271247461903,64,2.079441541679836,0.7320993680864453,2.29140023522736,27.56790816426414,1.6583261742679896,0.5058087649088001,6.155181716245265,1435.368845301743,3.634588565109675,1.290495917539367,990.9747726355096,964384884961,13.797378155066443,2.6244785853497063,25.475478405714,421201,6.47543271670409,1.868015434187263,1.4142135623730951,4,0.6931471805599453,-0.3665129205816643,2.0,16,1.3862943611198906,0.3266342599782809,3.1622776601683795,100,2.302585092994046,0.834032445247956,0.9995516074720704,0.998207635862869,-0.0008969861718397,0.0
