sequenceID,sum_diff,mean_diff,max_diff,min_diff,std_deviation,mean,median,variance,min_value,max_value,range_value,iqr,abs_skewness,kurtosis,count,unique_count,percentile_25,percentile_50,percentile_75,autocorr,sqrt_sum_diff,square_sum_diff,log_sum_diff,loglog_sum_diff,sqrt_mean_diff,square_mean_diff,log_mean_diff,loglog_mean_diff,sqrt_max_diff,square_max_diff,log_max_diff,loglog_max_diff,sqrt_min_diff,square_min_diff,log_min_diff,loglog_min_diff,sqrt_std_deviation,square_std_deviation,log_std_deviation,loglog_std_deviation,sqrt_mean,square_mean,log_mean,loglog_mean,sqrt_median,square_median,log_median,loglog_median,sqrt_variance,square_variance,log_variance,loglog_variance,sqrt_min_value,square_min_value,log_min_value,loglog_min_value,sqrt_max_value,square_max_value,log_max_value,loglog_max_value,sqrt_range_value,square_range_value,log_range_value,loglog_range_value,sqrt_iqr,square_iqr,log_iqr,loglog_iqr,sqrt_abs_skewness,square_abs_skewness,log_abs_skewness,loglog_abs_skewness,sqrt_kurtosis,square_kurtosis,log_kurtosis,loglog_kurtosis,sqrt_count,square_count,log_count,loglog_count,sqrt_unique_count,square_unique_count,log_unique_count,loglog_unique_count,sqrt_percentile_25,square_percentile_25,log_percentile_25,loglog_percentile_25,sqrt_percentile_50,square_percentile_50,log_percentile_50,loglog_percentile_50,sqrt_percentile_75,square_percentile_75,log_percentile_75,loglog_percentile_75,sqrt_autocorr,square_autocorr,log_autocorr,loglog_autocorr
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,1445651,1.0990910922478645,610,1,94.64747722573836,28.857262437315445,10.0,8958.144945196664,0,1801,1801,10.0,7.68551681894038,73.55257539463861,1315316,1561,6.0,10.0,16.0,0.9998796612916924,1202.3522778287568,2089906813801,14.184070297106585,2.65211952484441,1.0483754538560432,1.2080012290586035,0.0944835584723623,-2.359329444038931,24.698178070456937,372100,6.413458957167357,1.858398744293518,1.0,1,0.0,0.0,9.72869350045207,8958.14494519666,4.550159223583669,1.5151622265447895,5.371895609309198,832.7415953760969,3.3623616922046726,1.2126436116521588,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,94.64747722573836,80248360.85915254,9.100318447167338,2.2083094071047347,0.0,0,-23.025850929940457,0.0,42.43819034784589,3243601,7.496097345175956,2.014382531134612,42.43819034784589,3243601,7.496097345175956,2.014382531134612,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,2.7722764687058867,59.06716877421546,2.0393376250794377,0.7126250615432378,8.576279810887621,5409.981347183997,4.298000461997144,1.458149905711505,1146.8722683891176,1730056179856,14.089587498908086,2.64543604932221,39.50949253027682,2436721,7.353081920515432,1.9951195342529933,2.449489742783178,36.0,1.791759469228055,0.5831980807826592,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,4.0,256.0,2.772588722239781,1.0197814405382262,0.9999398288355617,0.9997593370647896,-0.0001203459495909,0.0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,1285666,1.2598109008812148,463,1,164.88739508319946,59.610733309554696,13.0,27187.853057323115,0,1885,1885,16.0,4.826681428284248,26.909971742679392,1020524,1805,7.0,13.0,23.0,0.9999411620540176,1133.8721268291235,1652937063556,14.066787429984396,2.643816517406986,1.1224129814293913,1.5871235059791382,0.2309616310347542,-1.4655036816730274,21.517434791350013,214369,6.137727054086234,1.814454486992159,1.0,1,0.0,0.0,12.840848690145036,27187.85305732311,5.105262786881602,1.6302719266642638,7.720798748157777,3553.4395257028536,4.0878356469437,1.4080156483123143,3.605551275463989,169.0,2.5649493574615367,0.9419387347481112,164.88739508319946,739179353.8665938,10.210525573763205,2.3234191072242094,0.0,0,-23.025850929940457,0.0,43.41658669218482,3553225,7.541683099882111,2.020445379905399,43.41658669218482,3553225,7.541683099882111,2.020445379905399,4.0,256.0,2.772588722239781,1.0197814405382262,2.196970966645724,23.296853610144066,1.5741591566309678,0.4537212609131701,5.187482216131386,724.1465791918034,3.292496914670608,1.1916462175568363,1010.2098791835288,1041469234576,13.835826778838886,2.6272613713983213,42.485291572496,3258025,7.498315870766981,2.0146784447626094,2.6457513110645907,49.0,1.9459101490553128,0.6657298105782764,3.605551275463989,169.0,2.5649493574615367,0.9419387347481112,4.795831523312719,529.0,3.1354942159291497,1.142786806294772,0.999970580594258,0.9998823275699392,-5.8839677002225605e-05,0.0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr2:16329724-21153113,355527,1.1199746725386055,31,1,108.98761030837784,33.96994106028484,10.0,11878.299200730831,0,1457,1457,11.0,6.57390503442958,50.611739191691726,317443,1324,6.0,10.0,17.0,0.9999262010197048,596.2608489579037,126399447729,12.781356474708517,2.547987583747918,1.0582885582574375,1.2543432671279566,0.1133060712464907,-2.1776625268013903,5.5677643628300215,961,3.4339872044851463,1.2337220363428747,1.0,1,0.0,0.0,10.439713133433209,11878.299200730828,4.691234208872957,1.5456957053805238,5.8283737920868495,1153.956895639226,3.525476047119025,1.260015475974052,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,108.98761030837784,141093991.9020827,9.382468417745914,2.238842885940469,0.0,0,-23.025850929940457,0.0,38.17066936798463,2122849,7.284134806195205,1.98569866885984,38.17066936798463,2122849,7.284134806195205,1.98569866885984,3.3166247903554,121.0,2.3978952727983707,0.874591382923689,2.563962759953736,43.216227401698575,1.883108029507871,0.6329236189841558,7.114192799727298,2561.548144007824,3.924183549221425,1.3671583166594634,563.4208018878962,100770058249,12.668053553638828,2.539083356141316,36.38681079732051,1752976,7.188412736496954,1.9724703874866567,2.449489742783178,36.0,1.791759469228055,0.5831980807826592,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,4.123105625617661,289.0,2.833213344056216,1.0414115247747806,0.9999630998290412,0.999852407485699,-7.380170357397827e-05,0.0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr3:60000-66170270,4970991,1.1202556377964257,102,1,111.27502857586262,33.81610132842112,10.0,12382.131984559044,0,2502,2502,12.0,7.459551192903588,72.69995301351072,4437373,2219,6.0,10.0,18.0,0.9999268629613736,2229.571932008474,24710751522081,15.419129774574266,2.735608931690165,1.0584212950410747,1.2549726940146764,0.1135569072949069,-2.17545118185436,10.099504938362076,10404,4.624972813284271,1.5314704927383054,1.0,1,0.0,0.0,10.54869795642394,12382.131984559042,4.712004871705863,1.5501134802421854,5.815161332965847,1143.5287090540446,3.5209370597238365,1.2587271643311886,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,111.27502857586262,153317192.4830401,9.424009743411723,2.2432606608021306,0.0,0,-23.025850929940457,0.0,50.0199960015992,6260004,7.824845691026856,2.057304016235207,50.0199960015992,6260004,7.824845691026856,2.057304016235207,3.4641016151377544,144.0,2.4849066497880004,0.910235093365326,2.731217895537372,55.644903999549335,2.0094952505967045,0.6978835714291849,8.526426743572639,5285.283168166667,4.286340738232672,1.4554333941790092,2106.507298824288,19690279141129,15.305573092637946,2.7282170164946344,47.10626285325551,4923961,7.704811922932594,2.041845058731469,2.449489742783178,36.0,1.791759469228055,0.5831980807826592,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,4.242640687119285,324.0,2.8903717578961645,1.0613851298016763,0.999963430812034,0.9998537312717736,-7.313971327005694e-05,0.0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr4:52660117-59739333,471058,1.0887839018504737,38,1,87.81959689630949,26.88371813510784,10.0,7712.281599030292,0,1256,1256,11.0,7.267273635833956,61.55351907939736,432647,1195,5.0,10.0,16.0,0.9998984525093644,686.3366520884631,221895639364,13.0627365076677,2.56976363541128,1.0434480829684214,1.185450384928742,0.0850613870239888,-2.464382082870731,6.164414002968976,1444,3.6375861597263857,1.2913203187398077,1.0,1,0.0,0.0,9.371211068816532,7712.2815990302915,4.475284675010414,1.498569964230967,5.184951121766515,722.7343007679262,3.291520829567853,1.1913497161961712,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,87.81959689630949,59479287.46274125,8.950569350020828,2.1917171447909127,0.0,0,-23.025850929940457,0.0,35.4400902933387,1577536,7.135687347028144,1.965108580840872,35.4400902933387,1577536,7.135687347028144,1.965108580840872,3.3166247903554,121.0,2.3978952727983707,0.874591382923689,2.6957881288843817,52.81326609808728,1.9833812055057336,0.6848030678279121,7.845605080514654,3788.835711057735,4.119907025316095,1.4158305964359532,657.759074433793,187183426609,12.97767743199952,2.5632307609046894,34.56877203488721,1428025,7.085901464365611,1.958107100668584,2.23606797749979,25.0,1.6094379124341005,0.4758849953271105,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,4.0,256.0,2.772588722239781,1.0197814405382262,0.99994922496563,0.9997969153306216,-0.0001015526469311,0.0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr4:75452279-190000000,7424384,1.0681017774688215,312,1,73.16575343421887,23.27563854398692,10.0,5353.227475596911,0,1812,1812,10.0,8.249004433050162,86.59128277025106,6951009,1628,5.0,10.0,15.0,0.9998628699686466,2724.772284063385,55121477779456,15.820280276248456,2.761292678759592,1.0334900954865611,1.1408414070320558,0.0658830332529589,-2.719874332641543,17.663521732655695,97344,5.7430031878094825,1.747982276959401,1.0,1,0.0,0.0,8.553698231421242,5353.22747559691,4.2927274622323495,1.4569223030046083,4.824483241134424,541.7553496303295,3.147407257544567,1.1465790210676414,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,73.16575343421887,28657044.40548568,8.585454924464699,2.150069483564553,0.0,0,-23.025850929940457,0.0,42.567593307585526,3283344,7.502186486602924,2.015194509602257,42.567593307585526,3283344,7.502186486602924,2.015194509602257,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,2.872108012079309,68.04607413648122,2.110092518283004,0.7467317940541904,9.3054437169998,7498.050251797577,4.461199149650142,1.4954175975281088,2636.4766261053787,48316526118081,15.754397386859514,2.757119525468492,40.34848200366403,2650384,7.395107546562485,2.000818639202717,2.23606797749979,25.0,1.6094379124341005,0.4758849953271105,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,3.872983346207417,225.0,2.70805020110221,0.9962288929513948,0.9999314326335814,0.9997257587419388,-0.0001371394345358,0.0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr5:100000-17500000,1116389,1.0807909872528527,454,1,85.03286249388658,25.3490616087316,9.0,7230.587703904223,0,1796,1796,10.0,8.182672984505523,84.58318296644178,1032938,1446,5.0,9.0,15.0,0.9998788108211274,1056.593109952928,1246324399321,13.925609927496517,2.6337295857515324,1.039610978805463,1.168109158126996,0.077693168669842,-2.554987944780716,21.30727575266252,206116,6.118097198041348,1.8112511328273144,1.0,1,0.0,0.0,9.221326504027855,7230.587703904223,4.443037799348136,1.4913383315358884,5.034785160136587,642.5749244432702,3.232741711944993,1.1733306044120186,3.0,81.0,2.19722457733622,0.7871950081766445,85.03286249388658,52281398.54385095,8.886075598696271,2.1844855120958337,0.0,0,-23.025850929940457,0.0,42.37924020083418,3225616,7.493317248862145,2.0140115898509148,42.37924020083418,3225616,7.493317248862145,2.0140115898509148,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,2.8605371846045844,66.95613717135652,2.102018867958678,0.7428982486079455,9.19691159935996,7154.314840734567,4.437735463949658,1.4901442156922948,1016.3355745028312,1066960911844,13.847917726939457,2.628134876705152,38.02630668366309,2090916,7.27655640271871,1.9846577286940104,2.23606797749979,25.0,1.6094379124341005,0.4758849953271105,3.0,81.0,2.19722457733622,0.7871950081766445,3.872983346207417,225.0,2.70805020110221,0.9962288929513948,0.9999394035746004,0.999757636329072,-0.0001211965228744,0.0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr10:18024675-38818835,1421571,1.5082789396845877,2680,1,280.2283629892109,63.309065233052486,7.0,78527.93542361296,0,5326,5326,10.0,7.914811114139027,77.74591606133176,942513,3850,4.0,7.0,14.0,0.9998532713729226,1192.29652352089,2020864108041,14.167273156064702,2.650934597362228,1.2281200835767598,2.274905359896064,0.4109692257459609,-0.8892369438197986,51.76871642217914,7182400,7.893572073504902,2.0660487666890632,1.0,1,0.0,0.0,16.740022789387442,78527.93542361294,5.635604852867214,1.7291044803058504,7.956699393156215,4008.037740682895,4.148028529529207,1.42263316824363,2.6457513110645907,49.0,1.9459101490553128,0.6657298105782764,280.2283629892109,6166636641.895127,11.271209705734428,2.422251660865796,0.0,0,-23.025850929940457,0.0,72.97944916207575,28366276,8.580355766373877,2.149475377252577,72.97944916207575,28366276,8.580355766373877,2.149475377252577,3.1622776601683795,100.0,2.302585092994046,0.834032445247956,2.813327409694618,62.64423497249867,2.068735828757508,0.7269377099723455,8.817364462317057,6044.427464215643,4.35344602313742,1.470967720711318,970.8310872649269,888330755169,13.756304991312629,2.6214972638357668,62.048368229954285,14822500,8.25582842728183,2.1109194269440312,2.0,16.0,1.3862943611198906,0.3266342599782809,2.6457513110645907,49.0,1.9459101490553128,0.6657298105782764,3.741657386773941,196.0,2.6390573296152584,0.9704217812773648,0.9999266329951024,0.9997065642751352,-0.0001467393927755,0.0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr1:17175658-29878082,1729876,2.250643365850739,1449,1,487.0731022051261,146.28034711786785,11.0,237240.20689172525,0,5357,5357,29.0,5.146013531476706,30.33139042479133,768615,4796,5.0,11.0,34.0,0.9999280727019516,1315.2475052247771,2992470975376,14.363560287604514,2.664694463781973,1.500214439955415,5.065395560247945,0.8112161157212765,-0.2092207798222437,38.06573262134856,2099601,7.278628942320682,1.9849425123730704,1.0,1,0.0,0.0,22.069732717120207,237240.2068917252,6.188414219015016,1.8226788695485563,12.09464125626998,21397.93995292391,4.985524966247109,1.606538707046132,3.3166247903554,121.0,2.3978952727983707,0.874591382923689,487.0731022051261,56282915766.0286,12.376828438030032,2.515826050108502,0.0,0,-23.025850929940457,0.0,73.19152956456095,28697449,8.58615939588096,2.150151534256296,73.19152956456095,28697449,8.58615939588096,2.150151534256296,5.385164807134504,841.0,3.367295829986474,1.214109997913178,2.268482649586879,26.48145526614136,1.638222343369641,0.4936117169818405,5.507394159200096,919.9932451011232,3.412183163867372,1.2273523104474933,876.7069065542943,590769018225,13.552345472925568,2.6065596299789267,69.25315877272314,23001616,8.475537516147405,2.137184074989521,2.23606797749979,25.0,1.6094379124341005,0.4758849953271105,3.3166247903554,121.0,2.3978952727983707,0.874591382923689,5.830951894845301,1156.0,3.5263605246161616,1.260266326229238,0.9999640357042604,0.9998561505774394,-7.192988494053938e-05,0.0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr2:16329724-21153113,382096,1.6793952180028129,63,1,354.7734433581829,83.11147542424655,8.0,125864.1961122218,0,4235,4235,11.0,6.865277321112342,53.19323642396776,227521,3308,4.0,8.0,15.0,0.9999416067628504,618.1391429120146,145997353216,12.853427164916445,2.5536104812226235,1.2959148189610352,2.8203682982507154,0.5184337393194305,-0.6569430524981992,7.937253933193772,3969,4.143134726391533,1.4214526816086592,1.0,1,0.0,0.0,18.83543053285969,125864.1961122218,5.87147939802352,1.7701066290070873,9.11654953500756,6907.517347195138,4.420182784075467,1.4861810490977871,2.8284271247461903,64.0,2.079441541679836,0.7320993680864453,354.7734433581829,15841795862.97583,11.74295879604704,2.4632538095670324,0.0,0,-23.025850929940457,0.0,65.07687761409578,17935225,8.351138607086154,2.122397889696645,65.07687761409578,17935225,8.351138607086154,2.122397889696645,3.3166247903554,121.0,2.3978952727983707,0.874591382923689,2.620167422343912,47.13203269577945,1.9264764347787269,0.6556926528674123,7.293369346465854,2829.5204012561303,3.9739312533774496,1.3797558448802076,476.9916141820525,51765805441,12.334997820805356,2.5124405733137207,57.51521537819362,10942864,8.104099056143582,2.092369989989102,2.0,16.0,1.3862943611198906,0.3266342599782809,2.8284271247461903,64.0,2.079441541679836,0.7320993680864453,3.872983346207417,225.0,2.70805020110221,0.9962288929513948,0.9999708029551916,0.9998832169354708,-5.839494210106768e-05,0.0
